price,rooms,address
"$999 - 2,199",Studio - 2 Beds,"8787 NW Prairie View Rd, Kansas City, MO 64153"
"$1,195 - 2,900",1-3 Beds,"4515 Walnut St, Kansas City, MO 64111"
"$1,225 - 2,585",1-3 Beds,"5400 N Summit St, Kansas City, MO 64118"
"$980 - 1,405",1-2 Beds,"1300 NE Parvin Rd, Kansas City, MO 64116"
"$1,225 - 1,630",1-2 Beds,"6404 Paseo Blvd, Kansas City, MO 64131"
"$950 - 1,080",1-2 Beds,"701-759 NW 60th St, Kansas City, MO 64118"
"$826 - 1,500",Studio - 2 Beds,"7310 NW Tiffany Springs Pky, Kansas City, MO 64153"
"$940 - 1,445",Studio - 2 Beds,"400 NE 103rd St, Kansas City, MO 64155"
"$825 - 1,395",Studio - 3 Beds,"9800 Cherry St, Kansas City, MO 64131"
$730 - 935,1-2 Beds,"7929 Sycamore, Kansas City, MO 64138"
"$975 - 1,600",Studio - 2 Beds,"3838 Rainbow Blvd, Kansas City, KS 66103"
$895 - 995,1-2 Beds,"13004 E US Highway 40, Independence, MO 64055"
$889 - 943,1-2 Beds,"4430 S Liberty Ave, Independence, MO 64055"
"$780 - 2,065",1-2 Beds,"14902 Grand Summit Blvd, Grandview, MO 64030"
"$805 - 1,090",1-2 Beds,"15319 Grand Summit Ext, Grandview, MO 64030"
"$1,630 /mo","4 Beds, 2.5 Baths","10561 Cypress Ave, Kansas City, MO 64137"
"$2,085 /mo","3 Beds, 2 Baths","10561 Cypress Ave, Kansas City, MO 64137"
"$2,595/mo","2 Beds, 2.5 Baths","13944 E 49th Ter, Kansas City, MO 64133"
"$1,245/mo","2 Beds, 1 Bath","13944 E 49th Ter, Kansas City, MO 64133"
"$2,130 /mo","3 Beds, 2 Baths","3829-3835 Main St, Kansas City, MO 64111"
"$1,245 /mo","3 Beds, 1 Bath","3829-3835 Main St, Kansas City, MO 64111"
"$1,515 /mo","3 Beds, 1 Bath","6000 Raytown Rd, Kansas City, MO 64133"
"$1,730 /mo","3 Beds, 2 Baths","6000 Raytown Rd, Kansas City, MO 64133"
"$2,245 /mo","3 Beds, 2.5 Baths","7705 Raytown Rd, Kansas City, MO 64138"
"$1,405 /mo","3 Beds, 2 Baths","7705 Raytown Rd, Kansas City, MO 64138"
"$2,000 /mo","3 Beds, 2 Baths","108 NW 63rd St, Kansas City, MO 64118"
"$1,860 /mo","3 Beds, 2.5 Baths","108 NW 63rd St, Kansas City, MO 64118"
$675/mo,"2 Beds, 1 Bath","1500 E 46th St, Kansas City, MO 64110"
"$1,810 /mo","3 Beds, 1 Bath","1500 E 46th St, Kansas City, MO 64110"
"$1,785 /mo","3 Beds, 1.5 Baths","9327 NE 79th St, Kansas City, MO 64158"
"$1,970 /mo","3 Beds, 2.5 Baths","9327 NE 79th St, Kansas City, MO 64158"
"$2,670 /mo","3 Beds, 2.5 Baths","2200 W 47th Pl, Westwood, KS 66205"
"$2,105 /mo","4 Beds, 2.5 Baths","2200 W 47th Pl, Westwood, KS 66205"
"$2,245 /mo","3 Beds, 2 Baths","3302 S Sterling Ave, Independence, MO 64052"
"$1,745 /mo","3 Beds, 2 Baths","3302 S Sterling Ave, Independence, MO 64052"
$650/mo,"1 Bed, 1 Bath","2501 Van Brunt Blvd, Kansas City, MO 64127"
"$2,505 /mo","3 Beds, 3 Baths",Apartment for Rent
$875 /mo,"2 Beds, 1 Bath","13900 E 50th St, Kansas City, MO 64133"
"$1,100 /mo","3 Beds, 1 Bath",House for Rent
"$1,745 /mo","3 Beds, 2.5 Baths","4529 S Benton Ave, Kansas City, MO 64130"
"$1,735 /mo","3 Beds, 2 Baths",House for Rent
