price,rooms,address
"$1,799 - 3,597",Studio - 2 Beds,"1516 S St, Sacramento, CA 95811"
"$2,214 - 2,604",1-2 Beds,"2800 Grassland Dr, Sacramento, CA 95833"
"$1,877 - 6,218",1-2 Beds,"7551 Greenhaven Dr, Sacramento, CA 95831"
"$1,850 - 2,700",Studio - 1 Bed,"1026 17th St, Sacramento, CA 95814"
"$2,132 - 6,659",1-3 Beds,"2900 Weald Way, Sacramento, CA 95833"
"$2,505 - 14,174",Studio - 2 Beds,"1531 N St, Sacramento, CA 95814"
"$1,150 - 1,310",Studio - 1 Bed,"5417 Mack Rd, Sacramento, CA 95823"
"$1,891 - 2,760",Studio - 3 Beds,"500 Douglas St, West Sacramento, CA 95605"
"$1,695 - 1,949",Studio - 1 Bed,"998 Riverfront St, West Sacramento, CA 95691"
"$2,034 - 2,414",1-2 Beds,"8760 Center Pky, Elk Grove, CA 95758"
"$1,620 - 1,965",Studio - 2 Beds,"980 Central St, West Sacramento, CA 95691"
"$2,250 - 2,500",4 Beds,"4930 Polk St, North Highlands, CA 95660"
"$991 - 2,377",1-2 Beds,"850 Sacramento Ave, West Sacramento, CA 95605"
"$991 - 2,453",1-2 Beds,"2150 Valley Oak Ln, West Sacramento, CA 95691"
"$1,750",1 Bed,"5121 Garfield Ave, Sacramento, CA 95841"
"$1,440 - 1,575",1 Bed,"3650 Tallyho Dr, Sacramento, CA 95826"
"$1,750 - 2,350",1-3 Beds,"61 Cadillac Dr, Sacramento, CA 95825"
Call for Rent,1-2 Beds,"2264 Cottage Way, Sacramento, CA 95825"
"$1,914 - 2,796",1-3 Beds,"407 Florin Rd, Sacramento, CA 95831"
"$2,150",2-3 Beds,"6830 Walerga Rd, Sacramento, CA 95842"
"$1,700 - 2,100",1-2 Beds,"7200 Gloria Dr, Sacramento, CA 95831"
"$1,550 - 1,950",Studio - 2 Beds,"1401 P St, Sacramento, CA 95814"
"$1,713 - 7,308",Studio - 2 Beds,"800 J St, Sacramento, CA 95814"
"$1,495 - 1,795",1-2 Beds,"5415 College Oak Dr, Sacramento, CA 95841"
"$1,250 - 1,400",1-2 Beds,"3129 Trussel Way, Sacramento, CA 95864"
"$1,525 - 2,125",1-2 Beds,"5152 Mack Rd, Sacramento, CA 95823"
"$1,100 - 1,700",Studio - 2 Beds,"618-631 Plaza Ave, Sacramento, CA 95815"
"$1,175 - 1,455",1-3 Beds,"2927 Marconi Ave, Sacramento, CA 95821"
"$1,150 - 1,850",Studio - 2 Beds,"1611 Cormorant Way, Sacramento, CA 95815"
"$1,250 - 1,495",1-2 Beds,"1015 Rio Ln, Sacramento, CA 95822"
"$1,753 - 2,532",1-3 Beds,"6200 Greenhaven Dr, Sacramento, CA 95831"
"$1,375 - 1,675",1-2 Beds,"8180 Center Pky, Sacramento, CA 95823"
"$2,480 /mo","Studio, 1 Bath","1110 8th St, Sacramento, CA 95814"
"$1,625/mo","1 Bed, 1 Bath","1110 8th St, Sacramento, CA 95814"
"$1,875/mo","2 Beds, 1 Bath","2340 Edison Ave, Sacramento, CA 95821"
"$1,650/mo","1 Bed, 1 Bath","2340 Edison Ave, Sacramento, CA 95821"
"$1,750/mo","2 Beds, 1 Bath","2751 W River Dr, Sacramento, CA 95833"
"$1,600/mo","2 Beds, 1 Bath","2751 W River Dr, Sacramento, CA 95833"
"$1,600/mo","2 Beds, 1 Bath","2825 Tiber Dr, Sacramento, CA 95826"
"$1,350/mo","1 Bed, 1 Bath","2825 Tiber Dr, Sacramento, CA 95826"
"$1,995 /mo","2 Beds, 1 Bath","2545 Fulton Ave, Sacramento, CA 95821"
"$2,250/mo","3 Beds, 1.5 Baths","2545 Fulton Ave, Sacramento, CA 95821"
"$1,200 /mo","1 Bed, 1 Bath","2407 Connie Dr, Sacramento, CA 95815"
"$2,549 /mo","3 Beds, 2 Baths","2407 Connie Dr, Sacramento, CA 95815"
"$1,600 /mo","1 Bed, 1 Bath","4050 Cuny Ave, Sacramento, CA 95823"
"$2,695 /mo","4 Beds, 2.5 Baths","4050 Cuny Ave, Sacramento, CA 95823"
"$2,750 /mo","2 Beds, 1 Bath","5545 Sky Pky, Sacramento, CA 95823"
"$2,295 /mo","2 Beds, 1 Bath","5545 Sky Pky, Sacramento, CA 95823"
"$2,150/mo","2 Beds, 1 Bath","2701 Corabel Ln, Sacramento, CA 95821"
"$2,000 /mo","1 Bed, 1 Bath","2701 Corabel Ln, Sacramento, CA 95821"
"$1,445/mo","1 Bed, 1 Bath","631 F St, Sacramento, CA 95814"
"$1,500/mo","1 Bed, 1 Bath","631 F St, Sacramento, CA 95814"
"$3,450 /mo","4 Beds, 3 Baths","4100 49th Ave, Sacramento, CA 95823"
"$3,299 /mo","3 Beds, 2.5 Baths","4100 49th Ave, Sacramento, CA 95823"
"$2,600 /mo","4 Beds, 2 Baths","5500-5700 Mack Rd, Sacramento, CA 95823"
"$2,500 /mo","4 Beds, 2 Baths","5500-5700 Mack Rd, Sacramento, CA 95823"
"$2,600 /mo","3 Beds, 2 Baths","5821 Dry Creek Rd, Rio Linda, CA 95673"
"$2,899 /mo","3 Beds, 2 Baths","5821 Dry Creek Rd, Rio Linda, CA 95673"
"$2,350 /mo","3 Beds, 1.5 Baths","2425 Liestal Aly, Sacramento, CA 95816"
"$2,725 /mo","3 Beds, 2 Baths","6931 21st Street, Sacramento, CA 95822"
"$2,399 /mo","2 Beds, 2.5 Baths",House for Rent
"$2,385 /mo","2 Beds, 2 Baths","1845 Morse Ave, Sacramento, CA 95825"
"$2,150/mo","2 Beds, 1 Bath",House for Rent
"$2,025/mo","1 Bed, 1.5 Baths","200 P St, Sacramento, CA 95814"
"$2,500 /mo","3 Beds, 2 Baths",House for Rent
"$2,950 /mo","3 Beds, 3 Baths","715 19th St, Sacramento, CA 95811"
"$2,000 /mo","3 Beds, 1 Bath",Condo for Rent
"$2,199 /mo","2 Beds, 2 Baths","1127 15th St, Sacramento, CA 95814"
"$2,300/mo","2 Beds, 2 Baths",Condo for Rent
"$2,280 /mo","3 Beds, 1.5 Baths","1 Matadero Ct, Sacramento, CA 95833"
"$3,500/mo","4 Beds, 2 Baths",House for Rent
"$2,600 /mo","3 Beds, 2 Baths","2845 32nd Ave, Sacramento, CA 95824"
"$2,700 /mo","4 Beds, 2 Baths",House for Rent
"$2,350 /mo","2 Beds, 2.5 Baths","5207 Standish Rd, Sacramento, CA 95820"
"$1,995/mo","3 Beds, 1 Bath",House for Rent
"$2,370 /mo","3 Beds, 1 Bath","7118 Walter Ave, Sacramento, CA 95828"
"$2,650 /mo","3 Beds, 2 Baths",House for Rent
"$2,300 /mo","2 Beds, 1 Bath","1900 Danbrook Dr, Sacramento, CA 95835"
"$4,165 /mo","6 Beds, 4.5 Baths",Condo for Rent
"$2,635 /mo","3 Beds, 1 Bath","3413 Lerwick Rd, Sacramento, CA 95821"
"$1,045/mo","1 Bed, 1 Bath",House for Rent
"$2,450 /mo","1 Bed, 1 Bath","1419 30th St, Sacramento, CA 95816"
"$2,095/mo","Studio, 1 Bath",Apartment for Rent
"$2,175/mo","2 Beds, 2 Baths","9033 Fashion Dr, Sacramento, CA 95826"
"$2,250/mo","2 Beds, 2 Baths",House for Rent
