price,rooms,address
"$1,736 - 9,654",Studio - 3 Beds,"100 E Redwood St, Baltimore, MD 21202"
"$1,635 - 3,385",Studio - 3 Beds,"2001 W Cold Spring Ln, Baltimore, MD 21209"
"$1,420 - 3,215",Studio - 3 Beds,"101 N Schroeder St, Baltimore, MD 21223"
"$1,500 - 2,318",1-2 Beds,"9 E Mount Royal Ave, Baltimore, MD 21202"
"$1,275",1 Bed,"1517 EUTAW Pl, Baltimore, MD 21217"
"$1,775 - 3,325",1-2 Beds,"1211 S Eaton St, Baltimore, MD 21224"
"$1,686 - 4,720",Studio - 3 Beds,"555 President St, Baltimore, MD 21202"
"$1,790 - 3,950",1-3 Beds,"1800 S Hanover St, Baltimore, MD 21230"
"$1,313 - 1,854",Studio - 2 Beds,"725 W Pratt St, Baltimore, MD 21201"
"$1,004 - 4,016",Studio - 4 Beds,"3905 Bank St, Baltimore, MD 21224"
"$1,810 - 3,485",Studio - 2 Beds,"250 Mission Blvd, Baltimore, MD 21230"
"$1,460 - 1,690",Studio,"733 W Pratt St, Baltimore, MD 21201"
"$1,564 - 4,800",1-2 Beds,"421 S Broadway, Baltimore, MD 21231"
"$1,620 - 3,490",1-3 Beds,"560 Bayview Blvd, Baltimore, MD 21224"
"$1,103 - 3,800",Studio - 2 Beds,"1720 Saint Paul St, Baltimore, MD 21202"
"$1,600 - 4,285",Studio - 2 Beds,"2460 Terrapin Way, Baltimore, MD 21230"
"$1,399 - 2,099",Studio - 3 Beds,"121 S Fremont Ave, Baltimore, MD 21201"
"$1,560 - 1,975",1-3 Beds,"601 N Eutaw St, Baltimore, MD 21201"
"$1,346 - 3,911",Studio - 2 Beds,"500 Park Ave, Baltimore, MD 21201"
"$1,350 - 2,241",1 Bed,"111 W Centre St, Baltimore, MD 21201"
"$1,190 - 3,025",Studio - 3 Beds,"118 N Howard St, Baltimore, MD 21201"
"$1,211 - 1,968",1-2 Beds,"101 W Read St, Baltimore, MD 21201"
"$1,205 - 5,870",Studio - 3 Beds,"3501 St Paul St, Baltimore, MD 21218"
"$1,748 - 3,512",Studio - 2 Beds,"1201 W Mt. Royal Ave, Baltimore, MD 21217"
"$1,203 - 2,828",Studio - 2 Beds,"410 W Lombard St, Baltimore, MD 21201"
$795,1 Bed,"1001-1055 E Jeffrey St, Baltimore, MD 21225"
"$1,175 - 3,250",1-2 Beds,"34 Dowling Cir, Baltimore, MD 21234"
"$1,800 - 3,125",Studio - 3 Beds,"1111 Light St, Baltimore, MD 21230"
"$1,245 - 1,721",1-2 Beds,"7507 Fairbrook Rd, Baltimore, MD 21244"
"$1,121 - 1,587",Studio - 2 Beds,"2600 W Patapsco Ave, Baltimore, MD 21230"
"$1,280 - 1,420",2 Beds,"43 Salix Ct, Baltimore, MD 21220"
"$1,295 - 1,950",1-2 Beds,"2315 Saint Paul St, Baltimore, MD 21218"
"$935 - 1,879",Studio - 3 Beds,"5364 Jamestowne Ct, Baltimore, MD 21229"
"$1,421 - 3,782",Studio - 2 Beds,"1901 S Charles St, Baltimore, MD 21230"
"$1,175 - 1,495",Studio - 2 Beds,"109 N Rock Glen Rd, Baltimore, MD 21229"
"$1,400 - 1,900",1-2 Beds,"306 W Franklin St, Baltimore, MD 21201"
"$1,382 - 2,693",1-3 Beds,"6809 Bellona Ave, Baltimore, MD 21212"
"$1,920 - 2,320",2 Beds,"1020 Park Ave, Baltimore, MD 21201"
"$1,670 - 4,289",1-3 Beds,"1 Durban Ct, Baltimore, MD 21236"
"$1,471 - 2,369",Studio - 2 Beds,"520 Park Ave, Baltimore, MD 21201"
Call for Rent,Studio - 3 Beds,"110 W 39th St, Baltimore, MD 21210"
"$1,103 - 3,800",Studio - 2 Beds,"4000 Linkwood Rd, Baltimore, MD 21210"
"$1,185 - 3,052",Studio - 2 Beds,"1101 N Calvert St, Baltimore, MD 21202"
"$1,180 - 3,357",Studio - 2 Beds,"501 Saint Paul St, Baltimore, MD 21202"
"$1,445 - 2,704",2-3 Beds,"2340 Noonham Rd, Baltimore, MD 21244"
"$1,114 - 2,222",1-2 Beds,"4412 Laplata Ave, Baltimore, MD 21211"
"$1,051 - 3,337",Studio - 2 Beds,"222 N Charles St, Baltimore, MD 21201"
"$1,235 - 3,640",Studio - 2 Beds,"8 N Howard St, Baltimore, MD 21201"
"$1,663 - 2,740",1-2 Beds,"1200 S Conkling St, Baltimore, MD 21224"
"$1,980 - 2,365",1-2 Beds,"777 S Eden St, Baltimore, MD 21231"
