price,rooms,address
"$1,309 - 2,780",1-3 Beds,"10200 Renaissance Valley Way, Louisville, KY 40272"
"$1,160 - 2,355",1-3 Beds,"10405 Watermark Pl, Louisville, KY 40223"
"$1,180 - 2,514",1-3 Beds,"9606 Clubview Dr, Louisville, KY 40291"
"$1,299 - 1,549",2 Beds,"3280 Silver Springs Dr, Louisville, KY 40220"
"$1,049 - 1,639",1-3 Beds,"2106 Buechel Bank Rd, Louisville, KY 40218"
"$1,523 - 6,830",1-3 Beds,"14601 Pulpit Dr, Louisville, KY 40245"
"$1,366 - 2,432",1-3 Beds,"14500 English Park Cir, Louisville, KY 40299"
"$1,361 - 1,980",1-3 Beds,"7400 Snow Bend Ave, Louisville, KY 40228"
"$985 - 1,970",1-2 Beds,"3311 Renwood Blvd, Louisville, KY 40214"
"$1,105",2 Beds,"3906 Accomack Dr, Louisville, KY 40241"
$775 - 800,Studio - 1 Bed,"512 W Ormsby Ave, Louisville, KY 40203"
"$949 - 1,450",1-3 Beds,"11312-11404 Taylorsville Rd, Louisville, KY 40299"
"$874 - 1,224",1-3 Beds,"4011 South Park Rd, Louisville, KY 40219"
"$880 - 1,055",1-2 Beds,"4901 S Hurstbourne Pkwy, Louisville, KY 40299"
"$989 - 1,899",1-4 Beds,"5319 Rangeland Rd, Louisville, KY 40219"
"$1,062 - 1,931",1-3 Beds,"425 S Hubbards Ln, Louisville, KY 40207"
"$935 - 1,765",1-2 Beds,"8117 Copper Creek Dr, Louisville, KY 40222"
"$529 - 1,130",1-4 Beds,"2330 Crittenden Dr, Louisville, KY 40217"
"$907 - 1,423",1-3 Beds,"2153 Goldsmith Ln, Louisville, KY 40218"
"$1,125 - 1,294",2-3 Beds,"8027 Glimmer Way, Louisville, KY 40214"
"$899 - 1,450",1-3 Beds,"8010 Summerfield Cir, Louisville, KY 40220"
$885 - 950,2 Beds,"7415 Patrick Henry Ct, Louisville, KY 40214"
$765 - 935,1-2 Beds,"7500 Dunwoody Ct, Louisville, KY 40219"
"$918 - 1,278",1-3 Beds,"3010 Jefferson Green Dr, Louisville, KY 40219"
$695 - 895,1-2 Beds,"5026 Quail Hollow Rd, Louisville, KY 40218"
"$1,100 - 1,780",Studio - 2 Beds,"411 E Spring St, New Albany, IN 47150"
"$1,008 - 2,335",Studio - 2 Beds,"222 W Maple St, Jeffersonville, IN 47130"
Call for Rent,1-2 Beds,"801 E Washington St, Louisville, KY 40206"
"$1,284 - 2,612",1-3 Beds,"11000 Indian Legends Dr, Louisville, KY 40241"
"$959 - 1,539",1-2 Beds,"2600 Whitehall Ter, Louisville, KY 40220"
"$1,099 - 1,400",1-3 Beds,"7204 Churchill Park Dr, Louisville, KY 40220"
"$1,125 - 1,430",1-2 Beds,"425 Meridian Hills Dr, Louisville, KY 40243"
"$1,058 - 1,432",2-3 Beds,"2424 Eagles Eyrie Ct, Louisville, KY 40206"
"$1,385 - 1,615",1-2 Beds,"911 Ormsby Ln, Louisville, KY 40242"
"$909 - 1,449",1-3 Beds,"6600 Outer Loop, Louisville, KY 40228"
"$940 - 1,350",1 Bed,"9401 Hurstbourne Crossings Dr, Louisville, KY 40299"
"$895 - 1,035",1-2 Beds,"1800 S 2nd St, Louisville, KY 40208"
"$815 - 1,440",1-3 Beds,"1214 Gilmore Ln, Louisville, KY 40213"
"$850 - 1,560",1-3 Beds,"500 La Fontenay Ct, Louisville, KY 40223"
"$906 - 1,749",Studio - 2 Beds,"7716 Sundance Dr, Louisville, KY 40222"
"$1,250 - 1,300",2 Beds,"4500 Mason Ethan Ct, Louisville, KY 40218"
Call for Rent,1-3 Beds,"5500 Nixon Cir, Louisville, KY 40272"
"$1,021 - 1,186",2-3 Beds,"2901 Lakeheath Dr, Louisville, KY 40213"
"$967 - 1,996",1-3 Beds,"10400 Pavilion Way, Jeffersontown, KY 40299"
"$1,095 - 1,450",1-2 Beds,"228 Spring St, Jeffersonville, IN 47130"
"$760 - 1,260",1-3 Beds,"1919 Viking Dr, Jeffersonville, IN 47130"
"$885 - 1,230",1-3 Beds,"201 Pheasant Ave, Fairdale, KY 40118"
"$1,025 - 1,135",1-3 Beds,"201 Pheasant Ave, Fairdale, KY 40118"
"$2,030",1 Bed,"Middletown, KY 40243"
