price,rooms,address
"$1,817 - 5,059",Studio - 2 Beds,"1889 Harrison St, Oakland, CA 94612"
"$2,400 - 9,926",Studio - 3 Beds,"1411 Alice St, Oakland, CA 94612"
"$1,949 - 3,769",Studio - 3 Beds,"421 25th St, Oakland, CA 94612"
"$1,905 - 5,125",Studio - 3 Beds,"260 Brooklyn Basin Way, Oakland, CA 94606"
"$1,849 - 2,141",Studio - 2 Beds,"2500 Webster St, Oakland, CA 94612"
"$2,193 - 3,706",Studio - 3 Beds,"3015 San Pablo Ave, Berkeley, CA 94702"
"$1,855 - 2,535",Studio - 2 Beds,"235 Haas Ave, San Leandro, CA 94577"
"$3,700 - 14,700",Studio - 5 Beds,"2430 Prospect St, Berkeley, CA 94704"
"$2,653 - 3,562",1-2 Beds,"1100 Pacific Marina, Alameda, CA 94501"
"$2,964 - 4,978",Studio - 2 Beds,"2121 Dwight Way, Berkeley, CA 94704"
"$2,460 - 5,431",Studio - 3 Beds,"6301 Shellmound St, Emeryville, CA 94608"
"$1,417 - 9,300",1-8 Beds,"2556 Telegraph Ave, Berkeley, CA 94704"
"$3,875 - 6,100",1-3 Beds,"1200 Lakeshore, Oakland, CA 94606"
"$2,100 - 2,800",1-2 Beds,"3761 Harrison St, Oakland, CA 94611"
"$1,695 - 2,995",Studio - 2 Beds,"1533 Jackson St, Oakland, CA 94612"
"$1,740 - 2,794",Studio - 2 Beds,"1614 Campbell St, Oakland, CA 94607"
"$2,237 - 3,199",Studio - 3 Beds,"3030 Chapman St, Oakland, CA 94601"
"$1,695 - 1,950",Studio - 1 Bed,"417-425 E 18th St, Oakland, CA 94606"
"$2,400 - 3,488",2-4 Beds,"1919 Market St, Oakland, CA 94607"
"$1,900 - 3,900",1-3 Beds,"520 Van Buren Ave, Oakland, CA 94610"
"$1,435 - 1,800",Studio,"2415 Valdez St, Oakland, CA 94612"
"$2,110 - 3,300",Studio - 3 Beds,"3250 Hollis St, Oakland, CA 94608"
"$1,250",Studio,"184 13th St, Oakland, CA 94612"
"$1,148 - 1,627",Studio,"825 6th Ave, Oakland, CA 94606"
$995,1 Bed,"1428 105th Ave, Oakland, CA 94603"
"$1,849 - 2,450",1 Bed,"1529 Alice St, Oakland, CA 94612"
"$1,595 - 1,795",Studio - 1 Bed,"1929 26th Ave, Oakland, CA 94601"
"$1,519 - 2,284",Studio - 3 Beds,"1720 12th Ave, Oakland, CA 94606"
"$1,750 - 2,400",Studio - 2 Beds,"2014 5th Ave, Oakland, CA 94606"
"$2,015 - 3,005",1-2 Beds,"240 3rd St, Oakland, CA 94607"
"$1,995 - 2,125",2 Beds,"1505 Jackson St, Oakland, CA 94612"
"$1,345 - 1,895",Studio - 1 Bed,"1461 Alice St, Oakland, CA 94612"
Call for Rent,1-2 Beds,"6951 Lion Way, Oakland, CA 94621"
"$1,150",Studio,"715 Peralta St, Oakland, CA 94607"
"$825 - 1,295",Studio,"634 15th St, Oakland, CA 94612"
"$3,295 - 3,595",2 Beds,"2028 Dwight Way, Berkeley, CA 94704"
"$2,380 - 4,218",Studio - 3 Beds,"1333 Powell St, Emeryville, CA 94608"
"$2,195",1 Bed,"2030 Dwight Way, Berkeley, CA 94704"
"$3,990 - 14,060",Studio - 5 Beds,"2580 Bancroft Way, Berkeley, CA 94704"
"$2,895 - 2,995",2 Beds,"2740 College Ave, Berkeley, CA 94705"
"$2,000/mo","Studio, 1 Bath","873 32nd St, Oakland, CA 94608"
$850/mo,"1 Bed, 1.5 Baths","873 32nd St, Oakland, CA 94608"
"$3,600/mo","3 Beds, 1.5 Baths","618 14th St, Oakland, CA 94612"
"$2,100 /mo","1 Bed, 1 Bath","618 14th St, Oakland, CA 94612"
"$6,500 /mo","3 Beds, 3.5 Baths","2425 Valdez St, Oakland, CA 94612"
"$1,550 /mo","19 Beds, 9 Baths","2425 Valdez St, Oakland, CA 94612"
"$1,900/mo","1 Bed, 1 Bath","392 11th St, Oakland, CA 94607"
"$3,300/mo","2 Beds, 2 Baths","392 11th St, Oakland, CA 94607"
"$1,025 /mo","1 Bed, 1 Bath","Oakland, CA 94602"
"$1,700 /mo","1 Bed, 1 Bath","Oakland, CA 94602"
"$3,000/mo","3 Beds, 2 Baths","2708 College Ave, Berkeley, CA 94705"
"$1,250 /mo","1 Bed, 1 Bath","2708 College Ave, Berkeley, CA 94705"
"$2,000/mo","Studio, 1 Bath","873 32nd St, Oakland, CA 94608"
$850/mo,"1 Bed, 1.5 Baths","873 32nd St, Oakland, CA 94608"
"$3,600/mo","3 Beds, 1.5 Baths","618 14th St, Oakland, CA 94612"
"$2,100 /mo","1 Bed, 1 Bath","618 14th St, Oakland, CA 94612"
"$6,500 /mo","3 Beds, 3.5 Baths","2425 Valdez St, Oakland, CA 94612"
"$1,550 /mo","19 Beds, 9 Baths","2425 Valdez St, Oakland, CA 94612"
"$1,900/mo","1 Bed, 1 Bath","392 11th St, Oakland, CA 94607"
"$3,300/mo","2 Beds, 2 Baths","392 11th St, Oakland, CA 94607"
"$1,025 /mo","1 Bed, 1 Bath","Oakland, CA 94602"
"$1,700 /mo","1 Bed, 1 Bath","Oakland, CA 94602"
"$3,000/mo","3 Beds, 2 Baths","2708 College Ave, Berkeley, CA 94705"
"$1,250 /mo","1 Bed, 1 Bath","2708 College Ave, Berkeley, CA 94705"
"$2,095/mo","1 Bed, 1 Bath","840 York St, Oakland, CA 94610"
"$1,750/mo","1 Bed, 1 Bath",Condo for Rent
"$2,695 /mo","2 Beds, 2.5 Baths","1560 Jackson St, Oakland, CA 94612"
"$1,700/mo","1 Bed, 1 Bath",Condo for Rent
"$2,425/mo","2 Beds, 2 Baths","1511 Jefferson St, Oakland, CA 94612"
"$1,150 /mo","1 Bed, 1 Bath",House for Rent
"$3,200 /mo","3 Beds, 2 Baths","864 Stanford Ave, Oakland, CA 94608"
"$1,795/mo","1 Bed, 1 Bath",Apartment for Rent
"$1,895/mo","1 Bed, 1 Bath","240 Athol Ave, Oakland, CA 94606"
