price,rooms,address
"$805 - 1,400",1-3 Beds,"4746-4752 S Harvard Ave, Tulsa, OK 74135"
"$1,090 - 1,100",2 Beds,"11308 E 23rd St, Tulsa, OK 74129"
"$725 - 1,100",1-3 Beds,"11107 E Brady St, Tulsa, OK 74116"
"$990 - 1,580",1-3 Beds,"6320 E 72nd St, Tulsa, OK 74136"
"$650 - 1,450",Studio - 3 Beds,"2302 S 137th East Ave, Tulsa, OK 74134"
"$2,400 /mo","3 Beds, 1.5 Baths","5126-5136 S Wheeling Ave, Tulsa, OK 74105"
"$1,695 /mo","1 Bed, 1 Bath","5126-5136 S Wheeling Ave, Tulsa, OK 74105"
"$2,495 /mo","3 Beds, 2 Baths","24 E 17th St, Tulsa, OK 74119"
"$2,695 /mo","4 Beds, 2 Baths","24 E 17th St, Tulsa, OK 74119"
"$2,395 /mo","3 Beds, 1 Bath","119 E 6th St, Tulsa, OK 74119"
"$1,795 /mo","1 Bed, 1 Bath","119 E 6th St, Tulsa, OK 74119"
"$2,295 /mo","2 Beds, 1 Bath","1722 S Carson Ave, Tulsa, OK 74119"
"$2,895 /mo","3 Beds, 1 Bath","1722 S Carson Ave, Tulsa, OK 74119"
"$1,650 /mo","3 Beds, 1 Bath","2616 S Sheridan Rd, Tulsa, OK 74129"
"$1,200/mo","2 Beds, 1 Bath","2616 S Sheridan Rd, Tulsa, OK 74129"
"$1,200/mo","1 Bed, 1 Bath","6621 E 19th St, Tulsa, OK 74112"
"$1,980/mo","1 Bed, 1 Bath","6621 E 19th St, Tulsa, OK 74112"
"$1,195/mo","Studio, 1 Bath","4747 S Darlington Ave, Tulsa, OK 74135"
"$1,400 /mo","3 Beds, 2 Baths","4747 S Darlington Ave, Tulsa, OK 74135"
"$2,000 /mo","3 Beds, 1 Bath","1638 S Carson Ave, Tulsa, OK 74119"
"$1,195 /mo","4 Beds, 1 Bath","1638 S Carson Ave, Tulsa, OK 74119"
"$3,000 /mo","5 Beds, 3 Baths","7625 E 21st St, Tulsa, OK 74129"
"$1,395 /mo","2 Beds, 1 Bath","7625 E 21st St, Tulsa, OK 74129"
"$1,125 /mo","2 Beds, 1 Bath","8641 E 61st St S, Tulsa, OK 74133"
"$1,200 /mo","2 Beds, 1 Bath","8641 E 61st St S, Tulsa, OK 74133"
$450 /mo,"1 Bed, 1 Bath","3211 S 79th East Ave, Tulsa, OK 74145"
"$2,045 /mo","3 Beds, 2 Baths","3211 S 79th East Ave, Tulsa, OK 74145"
"$1,517/mo","1 Bed, 1 Bath","3325 S 145TH E St, Tulsa, OK 74134"
"$1,626/mo","2 Beds, 1 Bath","3325 S 145TH E St, Tulsa, OK 74134"
"$2,225/mo","2 Beds, 1 Bath","959 Country Club Dr, Tulsa, OK 74127"
