price,rooms,address
"$1,884 - 4,175",1-2 Beds,"1125 S 2nd St, Minneapolis, MN 55415"
"$1,540 - 4,205",Studio - 3 Beds,"5235 Wayzata Blvd, Minneapolis, MN 55416"
"$1,152 - 1,525",Studio - 2 Beds,"265 Girard Ave N, Minneapolis, MN 55405"
"$1,175 - 2,295",Studio - 3 Beds,"4201 Nicollet Ave, Minneapolis, MN 55409"
"$1,170 - 2,895",Studio - 2 Beds,"1010 S 7th St, Minneapolis, MN 55415"
"$1,346 - 2,787",1-4 Beds,"2035 W River Rd, Minneapolis, MN 55411"
"$989 - 2,495",Studio - 1 Bed,"1219 W 31st St, Minneapolis, MN 55408"
"$1,415 - 2,501",1-2 Beds,"4020 Nawadaha Blvd, Minneapolis, MN 55406"
"$1,665 - 2,800",1-2 Beds,"2850 N Wayzata Blvd, Minneapolis, MN 55405"
"$1,740 - 1,890",Studio - 2 Beds,"4141 W 31st St, Minneapolis, MN 55416"
"$1,890 - 3,235",1-2 Beds,"3510 Beltline Blvd, Minneapolis, MN 55416"
"$1,295 - 2,981",1-2 Beds,"835 W Broadway Ave, Minneapolis, MN 55411"
"$1,141 - 2,550",Studio - 2 Beds,"1207 Glenwood Ave, Minneapolis, MN 55405"
"$1,557 - 1,798",1-3 Beds,"3755 S Wooddale Ave, Minneapolis, MN 55416"
"$840 - 1,050",Studio - 1 Bed,"1205 Hawthorne Ave, Minneapolis, MN 55403"
"$700 - 1,500",Studio - 2 Beds,"128 E 18th St, Minneapolis, MN 55403"
"$1,470 - 3,759",Studio - 3 Beds,"3118 West Lake St, Minneapolis, MN 55416"
"$1,265 - 2,900",Studio - 3 Beds,"415 Oak G..., Minneapolis, MN 55403"
Call for Rent,Studio - 2 Beds,"643 N 5th St, Minneapolis, MN 55401"
"$1,029",1 Bed,"3848-3854 W Broadway Ave, Minneapolis, MN 55422"
"$1,380 - 3,655",1-2 Beds,"770 Xenia Ave S, Minneapolis, MN 55416"
"$899 - 1,249",Studio - 1 Bed,"2908 Bryant Ave S, Minneapolis, MN 55408"
"$1,245 - 1,295",1 Bed,"1506 Laurel Ave, Minneapolis, MN 55403"
"$1,292 - 1,303",2 Beds,"1400 S 2nd St, Minneapolis, MN 55454"
"$1,789 - 2,350",3 Beds,"33 Wentworth Ct E, Minneapolis, MN 55419"
"$935 - 1,125",Studio - 1 Bed,"1009 Park Ave, Minneapolis, MN 55404"
"$1,750 - 2,800",2-4 Beds,"711 4th St SE, Minneapolis, MN 55414"
"$1,460 - 4,165",Studio - 2 Beds,"360 N 1st St, Minneapolis, MN 55401"
"$2,700 - 3,520",2-3 Beds,"212 N 2nd St, Minneapolis, MN 55401"
"$2,041 - 8,734",Studio - 2 Beds,"730 1/2 N 1st St, Minneapolis, MN 55401"
"$1,225 - 2,498",Studio - 2 Beds,"600 S 5th Ave, Minneapolis, MN 55415"
"$1,065 - 2,480",Studio - 2 Beds,"2520 8th St S, Minneapolis, MN 55454"
"$1,415 - 2,800",Studio - 2 Beds,"1400 Park Ave, Minneapolis, MN 55404"
"$1,175 - 3,182",Studio - 2 Beds,"1410 Nicollet Ave, Minneapolis, MN 55403"
"$972 - 1,967",Studio - 2 Beds,"1702 Nicollet Ave, Minneapolis, MN 55403"
"$1,425 - 6,178",Studio - 2 Beds,"1111 S Washington Ave, Minneapolis, MN 55415"
"$2,450",3 Beds,"6324 S Lyndale Ave, Richfield, MN 55423"
"$1,151 - 2,325",Studio - 2 Beds,"747 Hampden Ave, Saint Paul, MN 55114"
"$1,159 - 3,195",Studio - 2 Beds,"2400 W 66th St, Richfield, MN 55423"
$965,Studio,"811 E Lake St, Minneapolis, MN 55407"
"$1,666 - 2,699",2 Beds,"915 Washington Ave N, Minneapolis, MN 55401"
"$1,128 - 3,693",Studio - 2 Beds,"1212 W Lake St, Minneapolis, MN 55408"
"$1,185 - 1,641",1-2 Beds,"1500 Nicollet Ave S, Minneapolis, MN 55403"
"$945 - 2,929",Studio - 2 Beds,"3536 Nicollet Ave, Minneapolis, MN 55408"
"$719 - 1,506",Studio - 2 Beds,"2716 Blaisdell Ave, Minneapolis, MN 55408"
"$1,635 - 5,300",Studio - 2 Beds,"1511 Utica Ave S, Saint Louis Park, MN 55416"
"$2,179 - 9,204",1-3 Beds,"3945 Market St, Edina, MN 55424"
"$1,430 - 1,665",Studio - 2 Beds,"628 University Ave SE, Minneapolis, MN 55414"
"$1,235 - 5,505",1-2 Beds,"4621 Snelling Ave, Minneapolis, MN 55406"
"$1,000 - 1,500",Studio - 2 Beds,"4440 Beard Ave S, Minneapolis, MN 55410"
"$1,226 - 2,335",Studio - 2 Beds,"800 N 3rd St, Minneapolis, MN 55401"
"$1,250 - 2,240",Studio - 2 Beds,"3625 E 43rd St, Minneapolis, MN 55406"
"$1,565 - 3,370",Studio - 3 Beds,"1215 Marshall St NE, Minneapolis, MN 55413"
"$1,374 - 1,985",1-2 Beds,"635 Van Buren St NE, Minneapolis, MN 55413"
"$1,075 - 1,395",Studio - 1 Bed,"2015 Lyndale Ave, Minneapolis, MN 55405"
$949,Studio,"225 W 15th St, Minneapolis, MN 55403"
"$1,185 - 1,400",1-2 Beds,"940 Franklin Ter, Minneapolis, MN 55406"
"$825 - 1,145",Studio - 1 Bed,"125 Oak Grove St, Minneapolis, MN 55403"
"$725 - 1,040",Studio - 1 Bed,"116 Oak Grove St, Minneapolis, MN 55403"
"$765 - 1,625",Studio - 2 Beds,"1500 LaSalle Ave, Minneapolis, MN 55403"
$665 - 695,Studio - 1 Bed,"127 W Lake St, Minneapolis, MN 55408"
"$700 - 1,200",Studio - 2 Beds,"26 Oak Grove St, Minneapolis, MN 55403"
"$593 - 1,700",1-4 Beds,"515 14th Ave SE, Minneapolis, MN 55414"
"$1,354 - 2,517",1-3 Beds,"2301 NE California St, Minneapolis, MN 55418"
"$979 - 1,586",Studio - 2 Beds,"260 Portland Ave, Minneapolis, MN 55415"
"$1,550 - 4,900",Studio - 3 Beds,"6800 York Ave S, Edina, MN 55435"
"$999 - 1,285",Studio - 2 Beds,"2034 Yorkshire Ave, Saint Paul, MN 55116"
"$1,236 - 4,350",Studio - 3 Beds,"808 Berry St, Saint Paul, MN 55114"
"$1,335 - 1,592",1-2 Beds,"2500 38th Ave NE, Saint Anthony, MN 55421"
"$1,249 - 1,799",1-2 Beds,"845 Cleveland Ave S, Saint Paul, MN 55116"
"$900 - 2,200",Studio - 3 Beds,"3402 University Ave SE, Minneapolis, MN 55414"
"$1,225 - 1,588",1-2 Beds,"1006 W Lake St, Minneapolis, MN 55408"
$840 - 995,Studio - 1 Bed,"1810-1812 Bryant Ave S, Minneapolis, MN 55403"
"$1,295 - 2,064",Studio - 2 Beds,"2826 Girard Ave S, Minneapolis, MN 55408"
"$1,195 - 2,995",Studio - 3 Beds,"1018-1024 NE Main St, Minneapolis, MN 55413"
$985,1 Bed,"1929-1931 Fremont Ave S, Minneapolis, MN 55403"
Call for Rent,Studio - 2 Beds,"2926 Harriet Ave, Minneapolis, MN 55408"
"$1,136",2 Beds,"2122 Grand Ave S, Minneapolis, MN 55405"
"$1,045 - 1,375",Studio - 2 Beds,"3224-3236 Girard Ave, Minneapolis, MN 55408"
$915 - 925,1 Bed,"3628 Minnehaha Ave, Minneapolis, MN 55406"
"$1,849 - 2,699",1-2 Beds,"4415 Valley View Rd, Edina, MN 55424"
"$1,275 - 2,290",Studio - 3 Beds,"4820 Highway 7, Saint Louis Park, MN 55416"
"$1,309",1-2 Beds,"2297 Standish St, Saint Paul, MN 55108"
"$2,300 - 3,600",3-4 Beds,"1975-1977 Marshall Ave, Saint Paul, MN 55104"
"$1,395 - 3,540",Studio - 3 Beds,"6400 Barrie Rd, Edina, MN 55435"
"$2,567 - 5,388",1-2 Beds,"3901 Sunnyside Rd S, Edina, MN 55424"
"$1,300 - 1,650",1-2 Beds,"2015 Riverside Ave, Minneapolis, MN 55454"
"$1,200 - 2,750",Studio - 2 Beds,"3225 E Minnehaha Pky, Minneapolis, MN 55417"
"$1,327 - 2,820",Studio - 2 Beds,"700 NE Central Ave, Minneapolis, MN 55414"
"$1,507 - 3,755",Studio - 3 Beds,"5245 Wayzata Blvd, Minneapolis, MN 55416"
"$795 - 1,200",Studio - 1 Bed,"3332 Hennepin Ave, Minneapolis, MN 55408"
"$995 - 1,575",Studio - 2 Beds,"2825 Fremont Ave S, Minneapolis, MN 55408"
$895 - 975,1 Bed,"Minneapolis, MN 55405"
"$845 - 1,095",Studio - 1 Bed,"3433-3435 Colfax Ave S, Minneapolis, MN 55408"
"$1,502 - 5,000",Studio - 3 Beds,"5100 Wayzata Blvd, Minneapolis, MN 55416"
"$925 - 1,045",1 Bed,"3554 17th Ave S, Minneapolis, MN 55407"
"$1,995",3 Beds,"Minneapolis, MN 55408"
"$795 - 1,425",Studio - 2 Beds,"3532 Bryant Ave S, Minneapolis, MN 55408"
"$1,150",Studio - 2 Beds,"2505 Penn Ave N, Minneapolis, MN 55411"
$895 - 950,1 Bed,"5717 31st Ave S, Minneapolis, MN 55417"
"$1,293 - 1,546",1-2 Beds,"300 S 2nd St, Minneapolis, MN 55401"
"$885 - 1,000",Studio - 1 Bed,"32-34 Spruce Pl, Minneapolis, MN 55403"
"$945 - 1,175",Studio - 1 Bed,"3146 Calhoun Blvd W, Minneapolis, MN 55416"
"$825 - 1,215",Studio - 2 Beds,"2417 Garfield Ave, Minneapolis, MN 55405"
"$1,125 - 1,795",1-3 Beds,"5716 Winnetka Ave N, Minneapolis, MN 55428"
"$1,095 - 1,495",1-2 Beds,"3028 Ewing Ave S, Minneapolis, MN 55416"
"$1,225 - 1,758",Studio - 2 Beds,"601-701 Main St SE, Minneapolis, MN 55414"
"$1,195",2 Beds,"3116 Girard Ave S, Minneapolis, MN 55408"
"$795 - 1,240",Studio - 2 Beds,"320 7th St SE, Minneapolis, MN 55414"
"$900 - 1,050",Studio - 1 Bed,"137 E 17th St, Minneapolis, MN 55403"
"$905 - 1,095",Studio,"1930 Hennepin Ave S, Minneapolis, MN 55403"
"$1,070 - 1,485",1-2 Beds,"6304 Dupont Ave S, Richfield, MN 55423"
"$1,020 - 1,050",1 Bed,"6444 Queen Ave S, Richfield, MN 55423"
"$925 - 1,600",Studio - 2 Beds,"3127 S Highway 100, Saint Louis Park, MN 55416"
"$1,060 - 1,240",2 Beds,"760 Mt Curve Blvd, Saint Paul, MN 55116"
"$1,143 - 3,037",1-2 Beds,"2808 Silver Ln NE, Saint Anthony, MN 55421"
"$935 - 1,035",Studio - 1 Bed,"3150 Raleigh Ave, Saint Louis Park, MN 55416"
"$985 - 1,450",1-2 Beds,"1611 Pleasant St, Lauderdale, MN 55108"
$850 - 965,Studio - 1 Bed,"1634 Eustis St, Lauderdale, MN 55108"
$709 - 915,2-4 Beds,"950 Jefferson Commons Cir, Saint Paul, MN 55114"
"$2,500",3 Beds,"Minneapolis, MN 55446"
"$4,100",2 Beds,"Minneapolis, MN 55415"
"$1,600",1 Bed,"Minneapolis, MN 55403"
$930,1 Bed,"Minneapolis, MN 55421"
"$3,500",2 Beds,"Minneapolis, MN 55415"
"$3,300",2 Beds,"Minneapolis, MN 55415"
"$1,995",1 Bed,"Minneapolis, MN 55416"
"$2,600",4 Beds,"Minneapolis, MN 55419"
"$1,795 /mo","1 Bed, 1 Bath","Minneapolis, MN 55413"
"$1,195/mo","1 Bed, 1 Bath","1900 Central Ave NE, Minneapolis, MN 55418"
"$1,800/mo","3 Beds, 1 Bath","1900 Central Ave NE, Minneapolis, MN 55418"
"$2,990 /mo","4 Beds, 2 Baths","1315 Olson Memorial Hwy, Minneapolis, MN 55405"
"$2,300 /mo","3 Beds, 2 Baths","1315 Olson Memorial Hwy, Minneapolis, MN 55405"
"$1,795/mo","2 Beds, 1 Bath","1501 Como Ave SE, Minneapolis, MN 55414"
"$1,375/mo","2 Beds, 1 Bath","1501 Como Ave SE, Minneapolis, MN 55414"
"$1,595/mo","2 Beds, 1 Bath","Minneapolis, MN 55405"
$975/mo,"1 Bed, 1 Bath","Minneapolis, MN 55405"
"$1,650/mo","2 Beds, 1 Bath","4400 45th Ave N, Minneapolis, MN 55422"
"$1,895 /mo","3 Beds, 1 Bath","4400 45th Ave N, Minneapolis, MN 55422"
"$1,800/mo","3 Beds, 1 Bath","732 Polk St NE, Minneapolis, MN 55413"
$850 /mo,"1 Bed, 1 Bath","732 Polk St NE, Minneapolis, MN 55413"
"$2,695 /mo","4 Beds, 3 Baths","2200 Bryant Ave S, Minneapolis, MN 55405"
"$3,295 /mo","5 Beds, 4 Baths","2200 Bryant Ave S, Minneapolis, MN 55405"
"$1,395/mo","1 Bed, 1 Bath","2400 Harriet Ave S, Minneapolis, MN 55405"
"$1,800/mo","2 Beds, 1 Bath","2400 Harriet Ave S, Minneapolis, MN 55405"
"$1,900/mo","3 Beds, 1 Bath","1119 4th St SE, Minneapolis, MN 55414"
"$1,195/mo","1 Bed, 1 Bath","1900 Central Ave NE, Minneapolis, MN 55418"
"$1,800/mo","3 Beds, 1 Bath","1900 Central Ave NE, Minneapolis, MN 55418"
"$2,990 /mo","4 Beds, 2 Baths","1315 Olson Memorial Hwy, Minneapolis, MN 55405"
"$2,300 /mo","3 Beds, 2 Baths","1315 Olson Memorial Hwy, Minneapolis, MN 55405"
"$1,795/mo","2 Beds, 1 Bath","1501 Como Ave SE, Minneapolis, MN 55414"
"$1,375/mo","2 Beds, 1 Bath","1501 Como Ave SE, Minneapolis, MN 55414"
