price,rooms,address
"$1,726 - 2,828",Studio - 2 Beds,"535 Main St, Nashville, TN 37206"
"$1,376 - 2,361",Studio - 2 Beds,"115 Middleton St, Nashville, TN 37210"
"$1,408 - 2,905",Studio - 3 Beds,"4 Academy Pl, Nashville, TN 37210"
"$1,494 - 4,788",1-2 Beds,"2400 Charlotte Ave, Nashville, TN 37203"
"$1,705 - 3,114",1-2 Beds,"70 Music Sq W, Nashville, TN 37203"
"$1,519 - 3,379",Studio - 2 Beds,"1515 N 5th Ave, Nashville, TN 37208"
"$2,000 - 3,000",Studio - 1 Bed,"1600 McGavock St, Nashville, TN 37203"
"$1,376 - 7,590",Studio - 2 Beds,"281 Cumberland Bend, Nashville, TN 37228"
"$1,397 - 2,333",1-3 Beds,"645 Old Hickory Blvd, Nashville, TN 37209"
"$1,630 - 3,065",Studio - 2 Beds,"131 Great Circle Rd, Nashville, TN 37228"
"$1,455 - 2,475",Studio - 2 Beds,"350 Old Hickory Blvd, Nashville, TN 37221"
"$1,296 - 2,750",Studio - 2 Beds,"341 Great Circle Rd, Nashville, TN 37228"
"$1,475 - 2,135",1-2 Beds,"600 Stewarts Ferry Pike, Nashville, TN 37214"
"$1,636 - 2,635",Studio - 2 Beds,"800 4th Ave S, Nashville, TN 37210"
"$1,675 - 3,270",Studio - 2 Beds,"2 City Pl, Nashville, TN 37209"
"$1,845 - 4,260",Studio - 2 Beds,"1111 Church St, Nashville, TN 37203"
"$1,604 - 2,470",1-2 Beds,"339 Athens Way, Nashville, TN 37228"
"$1,675 - 3,325",Studio - 2 Beds,"3800 Charlotte Ave, Nashville, TN 37209"
"$1,620 - 3,774",Studio - 2 Beds,"820 4th Ave N, Nashville, TN 37219"
"$1,650 - 4,300",Studio - 3 Beds,"1009 8th Ave S, Nashville, TN 37203"
"$1,580 - 2,535",Studio - 2 Beds,"900-914 E Trinity Ln, Nashville, TN 37207"
"$1,492 - 2,725",1-3 Beds,"1500 Bell Rd, Nashville, TN 37211"
"$1,500 - 2,715",Studio - 2 Beds,"451 Murfreesboro Pike, Nashville, TN 37210"
