price,rooms,address
"$1,353 - 5,724",Studio - 2 Beds,"1 Dr Martin Luther King Jr Ave, Memphis, TN 38103"
"$999 - 2,450",1-3 Beds,"1544 Madison Ave, Memphis, TN 38104"
"$1,249 - 2,340",Studio - 1 Bed,"1973 Poplar Ave, Memphis, TN 38104"
"$940 - 1,760",1-2 Beds,"711 N Front St, Memphis, TN 38107"
"$1,295 - 2,775",1-3 Beds,"3769 Skipping Stone Trace, Memphis, TN 38125"
"$1,152 - 2,271",1-3 Beds,"8786 N Creek Blvd, Southaven, MS 38671"
"$894 - 1,703",1-2 Beds,"8056 Country Squire Ln, Cordova, TN 38018"
"$1,165 - 2,890",1-3 Beds,"9135 Morning Ridge Rd, Cordova, TN 38016"
"$1,274 - 2,538",1-3 Beds,"8546 Prestine Loop, Cordova, TN 38018"
"$1,523 - 4,353",1-3 Beds,"1505 Dexter Lake Dr, Cordova, TN 38016"
"$1,094 - 1,803",1-2 Beds,"2918 Champions Dr, Arlington, TN 38002"
"$1,095 - 1,631",1-3 Beds,"9940 Paddle Wheel Ln, Cordova, TN 38016"
"$1,807 - 3,130",1-2 Beds,"7900 Wolf River Blvd, Germantown, TN 38138"
"$1,125 - 1,905",Studio - 2 Beds,"50 Peabody Pl, Memphis, TN 38103"
"$1,289 - 3,300",1-3 Beds,"62 N Main St, Memphis, TN 38103"
"$1,047 - 1,957",Studio - 2 Beds,"130 S Front St, Memphis, TN 38103"
"$1,258 - 2,805",1-3 Beds,"9230 Thornbury Blvd, Memphis, TN 38125"
"$1,349 - 1,625",2-3 Beds,"1669 Randolph Pl, Memphis, TN 38120"
"$905 - 1,395",1-2 Beds,"1070 Poplar Ave, Memphis, TN 38105"
"$995 - 1,250",1-2 Beds,"1985 Madison Ave, Memphis, TN 38104"
"$825 - 1,115",Studio - 2 Beds,"2990 Hickory Hill Rd, Memphis, TN 38115"
"$885 - 1,105",Studio - 2 Beds,"6301 Village Grove Dr, Memphis, TN 38115"
