price,rooms,baths,square_feet,address
"$2,100,000",36 beds,36 beds,"6,098","5629 E Huntington Ave, Fresno, CA 93727"
"$474,900",3 beds,3 beds,"1,387","4186 N Reed Ave, Fresno, CA 93723"
"$280,000",3 beds,3 beds,"6,987","4509 E Illinois Ave, Fresno, CA 93702"
"$8,400,000",72 beds,72 beds,"2,167","405 S Clovis Ave, Fresno, CA 93727"
"$659,000",3 beds,3 beds,"5,118","2790 W Wrenwood Ave, Fresno, CA 93711"
"$119,990",3 beds,3 beds,"1,002","1898 E Gettysburg, Fresno, CA 93726"
"$365,000",4 beds,4 beds,"5,131","3626 E Saginaw Way, Fresno, CA 93726"
"$295,000",3 beds,3 beds,"3,614","2302 E Clay Ave, Fresno, CA 93701"
"$399,990",3 beds,3 beds,"6,298","5723 W Magill Ave, Fresno, CA 93722"
"$339,000",3 beds,3 beds,"1,158","1221 E Hedges Ave, Fresno, CA 93728"
"$795,000",4 beds,4 beds,10.52,"643 E Blue Ridge Rd, Fresno, CA 93720"
"$178,000",1 bed,1 bed,"1,590","4504 N Valentine Ave #169, Fresno, CA 93722"
"$165,000",1 bed,1 bed,"7,150","4504 N Valentine Ave #163, Fresno, CA 93722"
"$173,000",1 bed,1 bed,"1,021","4504 N Valentine Ave #132, Fresno, CA 93722"
"$995,000",8 beds,8 beds,"8,102","5166 W Lamona Ave, Fresno, CA 93722"
"$374,900",3 beds,3 beds,—,"4813 E San Gabriel Ave, Fresno, CA 93726"
"$449,900",3 beds,3 beds,"1,072","5473 E Bellaire Way, Fresno, CA 93727"
"$2,240,000",0 beds,0 beds,"6,564","723 W Adams Ave, Fresno, CA 93706"
"$264,000",2 beds,2 beds,"15,955","2633 E Lansing Way, Fresno, CA 93726"
"$560,000",3 beds,3 beds,0.58,"5909 N Grantland Ave, Fresno, CA 93723"
"$260,000",2 beds,2 beds,"1,553","5188 E Ashlan Ave #122, Fresno, CA 93727"
"$1,890,000",5 beds,5 beds,"4,470","9282 N Valley Green Dr, Fresno, CA 93720"
"$87,000",2 beds,2 beds,0.43,"1719 W Olive #33, Fresno, CA 93728"
"$87,000",2 beds,2 beds,667,"1719 Olive Ave, Fresno, CA 93728"
"$409,900",3 beds,3 beds,"2,080","5540 N Sebastian Ln, Fresno, CA 93722"
"$375,000",3 beds,3 beds,667,"4156 E Huntington Blvd, Fresno, CA 93702"
"$1,299,000",5 beds,5 beds,"2,080","5641 E Butler Ave, Fresno, CA 93727"
"$1,145,000",2 beds,2 beds,"1,920","2008 E Pin High Dr, Fresno, CA 93730"
