price,rooms,baths,square_feet,address
"$145,000",3 beds,3 beds,"1,320","6611 College Ave, Kansas City, MO 64132"
"$68,000",2 beds,2 beds,"4,235","2432 Cypress Ave, Kansas City, MO 64127"
"$350,000",4 beds,4 beds,816,"12720 E 64th Ct, Kansas City, MO 64133"
"$169,900",4 beds,4 beds,"6,322","7506 E 112 St, Kansas City, MO 64134"
"$98,750",2 beds,2 beds,825,"4106 Park Ave, Kansas City, MO 64130"
"$139,963",2 beds,2 beds,"8,712","8017 E 88th St, Kansas City, MO 64138"
"$295,000",3 beds,3 beds,"2,278","2700 Paseo Blvd, Kansas City, MO 64109"
"$699,000",4 beds,4 beds,"3,467","2818 NE 101 St, Kansas City, MO 64155"
"$170,000",3 beds,3 beds,"4,177","10718 Sycamore Ter, Kansas City, MO 64134"
"$299,900",3 beds,3 beds,0.34,"1405 E 27th St, Kansas City, MO 64108"
"$725,000",4 beds,4 beds,"1,092","2626 Tracy Ave, Kansas City, MO 64108"
"$139,963",2 beds,2 beds,"9,998","8011 E 88th St, Kansas City, MO 64138"
"$299,900",4 beds,4 beds,"1,720","5745 Harrison St, Kansas City, MO 64110"
"$469,000",4 beds,4 beds,"3,498","8906 N Cosby Ave, Kansas City, MO 64154"
"$699,900",4 beds,4 beds,"3,609","6104 NW 103rd St, Kansas City, MO 64154"
"$348,000",4 beds,4 beds,"5,251","12304 E 78th St, Kansas City, MO 64138"
"$879,000",6 beds,6 beds,928,"8165 NW Masters Ln, Parkville, MO 64152"
"$415,000",4 beds,4 beds,"1,342","5502 N Poe St, Kansas City, MO 64119"
"$575,000",3 beds,3 beds,"2,125","2012 W 92nd St, Leawood, KS 66206"
"$695,000",3 beds,3 beds,"6,970","2929 Mc Gee Trfy #304, Kansas City, MO 64108"
"$140,000",3 beds,3 beds,"3,580","11358 Sycamore Ter, Kansas City, MO 64134"
"$224,900",3 beds,3 beds,"8,276","11506 Oak St, Kansas City, MO 64114"
"$224,900",3 beds,3 beds,"3,968","11508 Oak St, Kansas City, MO 64114"
"$240,000",— beds,— beds,0.26,"300 N White Ave, Kansas City, MO 64123"
"$834,965",5 beds,5 beds,"3,349","1308 NW 106th Ter, Kansas City, MO 64155"
"$469,900",10 beds,10 beds,0.32,"9200 E 54 St, Raytown, MO 64133"
"$276,000",3 beds,3 beds,"4,700","8712 83rd Ter, Kansas City, MO 64152"
"$240,000",3 beds,3 beds,0.46,"5004 Marsh Ave, Kansas City, MO 64129"
"$485,000",4 beds,4 beds,"2,560","6135 N Chelsea Ave, Kansas City, MO 64119"
