price,rooms,baths,square_feet,address
"$297,950",4 beds,4 beds,0.23,"7321 Norte Grande Dr, El Paso, TX 79934"
"$295,950",4 beds,4 beds,"1,800","7317 Norte Grande Dr, El Paso, TX 79934"
"$277,450",4 beds,4 beds,"5,227","3608 Pattern Pl, El Paso, TX 79938"
"$272,450",4 beds,4 beds,"2,611","3612 Pattern Pl, El Paso, TX 79938"
"$276,450",4 beds,4 beds,1.08,"3613 Bob Snead Dr, El Paso, TX 79938"
"$275,450",4 beds,4 beds,"2,050","3609 Bob Snead Dr, El Paso, TX 79938"
"$198,000",3 beds,3 beds,"1,434","10672 Cardigan Dr, El Paso, TX 79935"
"$349,990",3 beds,3 beds,"5,090","912 Los Pinos Pl, El Paso, TX 79912"
"$439,950",4 beds,4 beds,"2,180","3721 Tierra Chisum Dr, El Paso, TX 79938"
"$347,500",4 beds,4 beds,"9,462","13445 Emerald Crystal, El Paso, TX 79928"
"$235,950",4 beds,4 beds,"2,667","4724 Sun Valley Dr, El Paso, TX 79924"
"$244,999",4 beds,4 beds,0.26,"13188 Lost Willow, El Paso, TX 79938"
"$240,000",3 beds,3 beds,"1,840","2709 Montana Ave, El Paso, TX 79903"
"$250,000",3 beds,3 beds,"6,117","7253 Black Ridge Dr, El Paso, TX 79912"
"$330,000",5 beds,5 beds,"1,456","7713 Nardo Goodman Dr, El Paso, TX 79912"
"$186,995",3 beds,3 beds,"7,011","11040 Essex Falls Ln, El Paso, TX 79934"
"$549,999",4 beds,4 beds,"1,676","12304 Fresh Water Dr, El Paso, TX 79928"
"$689,864",4 beds,4 beds,"5,329","7392 Cimarron Rim Dr, El Paso, TX 79911"
"$162,000",2 beds,2 beds,"1,468","4433 N Stanton St Unit D208, El Paso, TX 79902"
"$479,900",4 beds,4 beds,"6,000","5636 Valley Oak Dr, El Paso, TX 79932"
"$299,900",4 beds,4 beds,"1,536","1492 Dunlin Pl Pl, El Paso, TX 79928"
"$185,000",3 beds,3 beds,"6,696","4640 Junction Ave, El Paso, TX 79924"
"$240,000",2 beds,2 beds,"3,052","6116 Navajo Ave, El Paso, TX 79925"
"$264,500",4 beds,4 beds,"6,024","7476 Rio Rimac Dr, El Paso, TX 79934"
"$284,950",4 beds,4 beds,"1,197","2227 Copper Ave, El Paso, TX 79930"
"$440,000",4 beds,4 beds,"5,001","4020 Santa Anita Dr, El Paso, TX 79902"
"$210,000",3 beds,3 beds,"2,670","1713 Karl Wyler Drive Dr, El Paso, TX 79936"
"$280,000",4 beds,4 beds,"8,711","304 Alex Nicholas Ct, El Paso, TX 79932"
"$299,950",4 beds,4 beds,"2,619","1205 Morgan Marie St, El Paso, TX 79936"
"$217,950",4 beds,4 beds,"8,494","12745 Col Charles Branson Dr, El Paso, TX 79938"
"$289,950",4 beds,4 beds,"1,061","504 Hunter Dr Dr, El Paso, TX 79915"
"$419,950",4 beds,4 beds,"2,220","6501 Geyser Dr, El Paso, TX 79932"
"$410,000",4 beds,4 beds,0.24,"13201 Lost Willow, El Paso, TX 79938"
"$590,000",4 beds,4 beds,"2,171","1247 Franklin Quail Pl, El Paso, TX 79912"
"$300,000",4 beds,4 beds,"5,550.00","2141 Setting Sun Dr, El Paso, TX 79938"
"$265,950",4 beds,4 beds,"1,441","13884 Paseo Sereno Dr, El Paso, TX 79928"
"$265,950",3 beds,3 beds,"7,000","13888 Paseo Sereno Dr, El Paso, TX 79928"
"$265,950",4 beds,4 beds,"1,440","13812 Paseo Sereno Dr, El Paso, TX 79928"
"$265,950",3 beds,3 beds,"6,050","13880 Paseo Sereno Dr, El Paso, TX 79928"
"$265,950",3 beds,3 beds,"1,667","13808 Paseo Sereno Dr, El Paso, TX 79928"
"$265,950",3 beds,3 beds,"5,539","13816 Paseo Sereno Dr, El Paso, TX 79928"
"$130,000",3 beds,3 beds,"1,776","5037 Bragg Ave, El Paso, TX 79904"
"$265,950",3 beds,3 beds,"3,000","13820 Paseo Sereno Dr, El Paso, TX 79928"
"$295,000",3 beds,3 beds,"3,042","8416 Edgemere Blvd, El Paso, TX 79925"
"$265,950",4 beds,4 beds,0.28,"13804 Paseo Sereno Dr, El Paso, TX 79928"
"$269,999",3 beds,3 beds,"1,101","4100 Loma Dante, El Paso, TX 79938"
"$265,950",4 beds,4 beds,"1,504","13829 Paseo Sereno Dr, El Paso, TX 79928"
"$139,000",3 beds,3 beds,"5,496","7705 Mazatlan Dr, El Paso, TX 79915"
"$310,000",4 beds,4 beds,"1,269","14752 William Meshel Dr, El Paso, TX 79938"
"$339,900",4 beds,4 beds,"7,200","14928 William Meshel, El Paso, TX 79938"
"$284,000",4 beds,4 beds,"2,191","960 Nellind St, El Paso, TX 79928"
"$158,888",— beds,— beds,"6,060","8569 Dorbandt Cir, El Paso, TX 79907"
"$279,888",— beds,— beds,"1,935","8549 Dorbandt Cir, El Paso, TX 79907"
"$265,950",4 beds,4 beds,"5,485","13881 Paseo Perlas Dr, El Paso, TX 79928"
"$265,950",3 beds,3 beds,"1,546","13809 Paseo Perlas Dr, Horizon City, TX 79928"
"$265,950",3 beds,3 beds,"5,194","13885 Paseo Perlas Dr, El Paso, TX 79928"
"$265,950",3 beds,3 beds,"1,900","13813 Paseo Perlas Dr, El Paso, TX 79928"
"$265,950",4 beds,4 beds,0.23,"13889 Paseo Perlas Dr, Horizon City, TX 79928"
"$265,950",3 beds,3 beds,"2,846","13893 Paseo Perlas Dr, El Paso, TX 79928"
"$199,000",6 beds,6 beds,0.39,"436 DE Vargas Dr, El Paso, TX 79905"
"$265,950",3 beds,3 beds,"1,504","13825 Paseo Perlas Dr, Horizon City, TX 79928"
"$265,950",4 beds,4 beds,"5,225","13829 Paseo Perlas Dr, El Paso, TX 79928"
"$265,950",3 beds,3 beds,"1,489","13866 Paseo Bosque Ave, Horizon City, TX 79928"
"$265,950",4 beds,4 beds,"5,280","13862 Paseo Bosque Ave, El Paso, TX 79928"
"$265,950",3 beds,3 beds,"1,489","13841 Paseo Bosque Ave, Horizon City, TX 79928"
"$180,000",3 beds,3 beds,"5,225","842 Los Surcos Rd, El Paso, TX 79907"
"$265,950",4 beds,4 beds,"1,490","13845 Paseo Bosque Ave, Horizon City, TX 79928"
"$265,950",3 beds,3 beds,"5,280","13849 Paseo Bosque Ave, Horizon City, TX 79928"
"$259,000",3 beds,3 beds,"1,438","5377 Guillermo Frias Ln, El Paso, TX 79934"
"$350,000",4 beds,4 beds,"5,225","6900 Orizaba Ave, El Paso, TX 79912"
"$328,950",4 beds,4 beds,"1,490","51073 Purple Mat Ave, El Paso, TX 79934"
"$332,950",4 beds,4 beds,"5,225","51077 Purple Mat Ave, El Paso, TX 79934"
