price,rooms,baths,square_feet,address
"$999,000",8 beds,8 beds,"1,210","61 Ceylon St, Boston, MA 02121"
"$12,500,000",12 beds,12 beds,"2,916","164 Marlborough St, Boston, MA 02116"
"$2,499,000",2 beds,2 beds,"3,130","86 Berkeley St #1, Boston, MA 02116"
"$3,750,000",4 beds,4 beds,"9,504","50 River St, Boston, MA 02108"
"$1,200,000",9 beds,9 beds,"2,000","6 Coleman St, Boston, MA 02125"
"$459,000",1 bed,1 bed,"1,840","12 Stoneholm St #315, Boston, MA 02115"
"$3,795,000",5 beds,5 beds,"1,840","70 Chandler, Boston, MA 02116"
"$685,000",1 bed,1 bed,"3,120","311-315 Washington St #4, Boston, MA 02135"
"$559,000",1 bed,1 bed,760,"156 Porter St #121, Boston, MA 02128"
"$1,295,000",2 beds,2 beds,"3,135","1597 Washington St #412, Boston, MA 02118"
"$1,395,000",7 beds,7 beds,"1,486","23-25 Division St, Chelsea, MA 02150"
"$580,999",5 beds,5 beds,352,"102 Moreland, Boston, MA 02119"
"$1,685,000",2 beds,2 beds,"3,613","33 Sleeper St #605, Boston, MA 02210"
"$3,995,000",4 beds,4 beds,762,"6 Charles River Sq, Boston, MA 02114"
"$775,000",1 bed,1 bed,"1,045","85 East India Row Unit 10A, Boston, MA 02110"
"$475,000",2 beds,2 beds,"1,014","65 Chester St #9, Boston, MA 02134"
"$844,999",1 bed,1 bed,"4,060","121 Portland St #808, Boston, MA 02114"
"$1,512,500",2 beds,2 beds,"2,033","110 Stuart Unit 16H, Boston, MA 02116"
"$785,000",1 bed,1 bed,"1,329","346 Beacon St #10, Boston, MA 02116"
"$399,880",1 bed,1 bed,906,"1486 Commonwealth Ave #16, Boston, MA 02135"
"$459,000",2 beds,2 beds,"1,747","24 Bryon Rd #1, Boston, MA 02467"
"$625,000",0 beds,0 beds,"3,240","35 Fay St #209, Boston, MA 02118"
"$1,399,000",2 beds,2 beds,990,"74 Waltham St Unit 1A, Boston, MA 02118"
"$1,999,900",2 beds,2 beds,750,"1 Franklin St #2507, Boston, MA 02110"
"$1,225,000",2 beds,2 beds,650,"16 Everett St #202, Boston, MA 02130"
"$699,000",3 beds,3 beds,912,"38-40 Harbor View St #3, Boston, MA 02125"
"$620,000",1 bed,1 bed,"1,040","244 Brighton Ave #304, Boston, MA 02134"
"$599,000",2 beds,2 beds,557,"775 E 5th St #1, Boston, MA 02127"
"$1,499,000",3 beds,3 beds,540,"25 Bentley #1, Boston, MA 02135"
"$755,000",2 beds,2 beds,780,"150-152 Bayswater #2, Boston, MA 02128"
"$849,000",1 bed,1 bed,639,"65 E India Row Unit 31H, Boston, MA 02110"
"$849,900",3 beds,3 beds,"1,046","27 Stearns Rd, Boston, MA 02132"
"$690,000",1 bed,1 bed,"1,362","170 Tremont St #606, Boston, MA 02111"
"$679,000",1 bed,1 bed,"1,449","53 Thomas Park #1, Boston, MA 02127"
"$1,125,000",1 bed,1 bed,"1,238","45 Province St #708, Boston, MA 02108"
"$799,900",1 bed,1 bed,850,"1 Nassau St #2210, Boston, MA 02111"
"$679,000",1 bed,1 bed,711,"2 Symphony Rd #2, Boston, MA 02115"
"$655,000",1 bed,1 bed,"1,029","1255 Adams St Unit WM210, Boston, MA 02124"
"$647,500",4 beds,4 beds,"1,380","34 Seminole St, Boston, MA 02136"
"$1,595,000",1 bed,1 bed,"3,992","406 Marlborough St #3, Boston, MA 02115"
"$1,525,000",2 beds,2 beds,"1,330","285 Columbus Ave #207, Boston, MA 02116"
"$410,000",0 beds,0 beds,"1,240","44 Washington St #716, Brookline, MA 02445"
"$1,799,000",2 beds,2 beds,500,"72 Pinckney St #1, Boston, MA 02114"
"$1,125,000",3 beds,3 beds,"1,545","8 Whittier Pl Unit 24H, Boston, MA 02114"
"$659,000",1 bed,1 bed,"1,515","691 Massachusetts Ave #102, Boston, MA 02118"
"$2,700,000",6 beds,6 beds,837,"5-7 Burrill Pl, Boston, MA 02127"
"$569,000",1 bed,1 bed,"3,480","67 Mount Vernon Unit B, Boston, MA 02108"
"$249,900",1 bed,1 bed,"2,040","46 Adams St Unit A3, Boston, MA 02122"
"$399,900",1 bed,1 bed,350,"4 Commonwealth Ct #6, Boston, MA 02135"
"$1,650,000",2 beds,2 beds,340,"221 Columbus Ave #603, Boston, MA 02116"
"$399,999",1 bed,1 bed,480,"1665 Commonwealth Ave #16, Boston, MA 02135"
"$475,000",1 bed,1 bed,"1,508","69 Cottage St #2, Boston, MA 02128"
"$4,475,000",3 beds,3 beds,484,"240 Devonshire St #5212, Boston, MA 02110"
"$679,000",2 beds,2 beds,510,"21 Glen Rd #2, Boston, MA 02130"
"$599,000",1 bed,1 bed,"1,989","21 Glen Rd #9, Boston, MA 02130"
"$825,000",1 bed,1 bed,961,"346-354 Congress St #316, Boston, MA 02210"
"$2,499,999",5 beds,5 beds,857,"764 E Broadway, Boston, MA 02127"
"$1,029,000",2 beds,2 beds,784,"126 D St #1, Boston, MA 02127"
"$979,900",2 beds,2 beds,"3,487","121 Beacon St #1, Boston, MA 02116"
"$1,399,000",3 beds,3 beds,"2,625","57 L St #6, Boston, MA 02127"
"$789,000",2 beds,2 beds,"1,425","23 Downer Ave #3, Boston, MA 02125"
"$450,000",1 bed,1 bed,940,"84 W Cedar St #5, Boston, MA 02114"
"$669,000",2 beds,2 beds,"1,564","205 Maverick St #312, Boston, MA 02128"
"$735,900",4 beds,4 beds,"1,275","42 West Eagle St #3, Boston, MA 02128"
"$499,900",2 beds,2 beds,314,"27 King St #3, Boston, MA 02122"
"$1,199,000",1 bed,1 bed,849,"21 Wormwood St #616, Boston, MA 02210"
"$850,000",3 beds,3 beds,"1,269","118 Marcella #2, Boston, MA 02119"
"$799,000",2 beds,2 beds,"1,005","1 Concord Sq #2, Boston, MA 02118"
"$1,850,000",3 beds,3 beds,"1,126","312 Shawmut Ave Unit 6/7, Boston, MA 02118"
"$599,000",1 bed,1 bed,"1,568","301 Border #206, Boston, MA 02128"
"$899,000",2 beds,2 beds,701,"99 Tremont #518, Boston, MA 02135"
"$399,988",1 bed,1 bed,"1,427","92 George St #203, Boston, MA 02119"
"$580,000",1 bed,1 bed,875,"191 Washington St #617, Boston, MA 02135"
"$675,000",2 beds,2 beds,"1,121","43-45 Union Ave #6, Boston, MA 02130"
"$1,166,000",2 beds,2 beds,630,"519 E 2nd St #303, Boston, MA 02127"
"$2,899,000",2 beds,2 beds,531,"975 Memorial Dr #501, Cambridge, MA 02138"
"$869,999",1 bed,1 bed,954,"121 Portland St #205, Boston, MA 02114"
"$950,000",3 beds,3 beds,"1,650","3 Loyola Cir, Boston, MA 02132"
"$552,291",1 bed,1 bed,"5,616","103 13th St #301, Boston, MA 02129"
"$975,000",3 beds,3 beds,556,"63 Weld Hill St #2, Boston, MA 02130"
"$699,000",1 bed,1 bed,"1,082","80-82 Fenwood #907, Boston, MA 02115"
"$519,000",2 beds,2 beds,561,"56 Coffey St #1, Boston, MA 02122"
"$1,599,000",4 beds,4 beds,803,"479 East 4th St, Boston, MA 02127"
"$714,550",3 beds,3 beds,"2,484","617 South St #1, Boston, MA 02131"
"$1,099,999",4 beds,4 beds,"2,005","23 Winship St #1, Boston, MA 02135"
"$949,000",1 bed,1 bed,"1,458","580 Washington St Unit 8E, Boston, MA 02111"
"$420,000",3 beds,3 beds,"2,221","13 Victoria Heights Rd #13, Boston, MA 02136"
"$649,900",1 bed,1 bed,813,"464 Main St #1, Boston, MA 02129"
"$699,000",2 beds,2 beds,"1,269","70 Shawsheen Ph 5, Boston, MA 02128"
"$845,000",3 beds,3 beds,"1,269","4 Payne St #1, Boston, MA 02122"
"$679,000",1 bed,1 bed,747,"45 W Broadway #203, Boston, MA 02127"
"$599,000",2 beds,2 beds,"1,075","29 Swallow #1, Boston, MA 02127"
"$1,088,000",2 beds,2 beds,"1,472","453 Massachusetts Ave #9, Boston, MA 02118"
"$785,000",1 bed,1 bed,850,"88 Wareham Ph 605, Boston, MA 02118"
"$1,350,000",2 beds,2 beds,864,"1 Nassau St #2208, Boston, MA 02111"
"$990,000",2 beds,2 beds,"1,205","38 Pleasant St #2, Boston, MA 02129"
"$985,000",2 beds,2 beds,612,"38 Pleasant St #1, Boston, MA 02129"
"$675,000",1 bed,1 bed,"1,543","59 Brainerd Rd #514, Boston, MA 02134"
"$610,000",4 beds,4 beds,993,"372 Quincy St #372, Boston, MA 02125"
"$1,125,000",2 beds,2 beds,"1,147","210 South St Unit 5-1, Boston, MA 02111"
"$1,249,995",2 beds,2 beds,806,"10 Cumberland St Unit 1-10, Boston, MA 02115"
"$1,440,000",3 beds,3 beds,"2,237","170 Tremont St #1501, Boston, MA 02111"
"$950,000",1 bed,1 bed,"1,730","717 Atlantic Ave Unit 2A, Boston, MA 02111"
"$299,000",— beds,— beds,"1,052","0 Magnolia St, Boston, MA 02125"
"$999,999",— beds,— beds,"1,430","51 Breed St, Boston, MA 02128"
"$150,000",— beds,— beds,"1,472","34 Wentworth St, Boston, MA 02124"
"$869,999",1 bed,1 bed,954,"121 Portland St #205, Boston, MA 02114"
"$950,000",3 beds,3 beds,"1,650","3 Loyola Cir, Boston, MA 02132"
"$552,291",1 bed,1 bed,"5,616","103 13th St #301, Boston, MA 02129"
"$975,000",3 beds,3 beds,556,"63 Weld Hill St #2, Boston, MA 02130"
"$699,000",1 bed,1 bed,"1,082","80-82 Fenwood #907, Boston, MA 02115"
"$519,000",2 beds,2 beds,561,"56 Coffey St #1, Boston, MA 02122"
"$1,599,000",4 beds,4 beds,803,"479 East 4th St, Boston, MA 02127"
"$714,550",3 beds,3 beds,"2,484","617 South St #1, Boston, MA 02131"
