price,rooms,baths,square_feet,address
"$290,900",3 beds,3 beds,"1,496","12051 Luckey Villa, San Antonio, TX 78252"
"$350,000",4 beds,4 beds,"7,801","15162 Longtailed Duck, San Antonio, TX 78253-4454"
"$595,000",3 beds,3 beds,"2,010","4 Orsinger Cpe, San Antonio, TX 78230-1526"
"$280,000",3 beds,3 beds,"6,534","7723 Derby Run, Selma, TX 78154-3937"
"$574,990",4 beds,4 beds,"2,649","3539 Hilldale Pt, San Antonio, TX 78261-2353"
"$200,000",3 beds,3 beds,"7,962","7722 Anaheim Post, San Antonio, TX 78254-1814"
"$339,900",5 beds,5 beds,921,"15107 Nest Jct, Von Ormy, TX 78073"
"$210,000",2 beds,2 beds,0.26,"9506 Scots Gln, San Antonio, TX 78240-4957"
"$279,999",4 beds,4 beds,"3,194","8111 Mescal Trl, San Antonio, TX 78244"
"$227,000",3 beds,3 beds,"7,143","6918 Opal Clfs, Converse, TX 78109-3719"
"$246,000",3 beds,3 beds,"1,500","5618 Chase Cyn, San Antonio, TX 78252"
"$1,100,000",3 beds,3 beds,"6,098","1815 Oakland Bnd, San Antonio, TX 78258-7203"
"$332,900",5 beds,5 beds,"1,020","15319 Nest Jct, Von Ormy, TX 78073"
"$714,990",3 beds,3 beds,"7,143","1002 Flagstone Dr, San Antonio, TX 78260-6607"
"$300,000",3 beds,3 beds,"1,553","10351 Gold Rush, San Antonio, TX 78245"
"$429,000",3 beds,3 beds,"5,096","2810 Hitching Post, San Antonio, TX 78217"
"$399,900",5 beds,5 beds,"4,425","6612 Hummel Pnes, Converse, TX 78109"
"$259,900",3 beds,3 beds,0.68,"3611 Lakefield St, San Antonio, TX 78230-2300"
"$260,000",4 beds,4 beds,"1,525","9134 Encino Vlg, San Antonio, TX 78250-4933"
"$231,990",3 beds,3 beds,"5,227","918 Goodhart, San Antonio, TX 78221"
"$255,990",3 beds,3 beds,"2,323","935 Goodhart, San Antonio, TX 78221"
"$253,990",3 beds,3 beds,"5,793","934 Goodhart, San Antonio, TX 78221"
"$186,000",4 beds,4 beds,"1,746","3306 Cato Blvd, San Antonio, TX 78223-3806"
"$245,990",3 beds,3 beds,"7,971","922 Goodhart, San Antonio, TX 78221"
"$217,077",2 beds,2 beds,"1,401","1248 N Bailey Ave, San Antonio, TX 78210-3645"
"$279,500",3 beds,3 beds,"5,227","8355 Lazy Pebble, San Antonio, TX 78254-5794"
"$395,000",2 beds,2 beds,"1,269","116 Pendleton, San Antonio, TX 78204"
"$385,000",4 beds,4 beds,0.26,"14435 High Plns, San Antonio, TX 78254"
"$450,090",4 beds,4 beds,"2,039","12203 Black Hat, San Antonio, TX 78254"
"$139,000",3 beds,3 beds,"6,011","539 Dorie St, San Antonio, TX 78220"
"$547,960",4 beds,4 beds,"1,597","12204 Josey Wales Way, San Antonio, TX 78254"
"$399,900",4 beds,4 beds,"6,098","24111 Mountain Cloud, San Antonio, TX 78258-4911"
"$374,990",4 beds,4 beds,"1,989","15031 Gelding Hts, San Antonio, TX 78245"
"$224,998",3 beds,3 beds,"7,579","6211 Welles Brook Dr, San Antonio, TX 78240"
"$374,998",3 beds,3 beds,"2,858","15238 Delachaise St, San Antonio, TX 78232"
"$749,988",9 beds,9 beds,"6,969","402 E Dewey Pl, San Antonio, TX 78212-4061"
"$364,988",3 beds,3 beds,770,"9011 Ryelle, San Antonio, TX 78250-5840"
"$232,000",3 beds,3 beds,"6,011","9950 Kent Frst, San Antonio, TX 78254-2810"
"$353,000",4 beds,4 beds,"3,332","7122 Turnbow, San Antonio, TX 78252-4411"
"$375,000",4 beds,4 beds,"6,969","11710 Fabiana, San Antonio, TX 78253-5659"
"$265,000",3 beds,3 beds,"1,913","14128 Feed Park, San Antonio, TX 78252"
"$346,000",3 beds,3 beds,"6,359","7510 Camino Mnr, Boerne, TX 78015-4839"
"$269,990",3 beds,3 beds,"2,359","8503 Quail Tree, San Antonio, TX 78250"
"$189,999",3 beds,3 beds,"6,070","406 S San Gabriel Ave, San Antonio, TX 78237-1942"
"$745,000",4 beds,4 beds,"1,368","6919 Bella Verso, San Antonio, TX 78256"
"$409,999",4 beds,4 beds,"8,820","8630 Wrexham Hts, San Antonio, TX 78254"
"$238,500",3 beds,3 beds,"1,722","4723 Highland Farm, San Antonio, TX 78244-1308"
"$534,998",4 beds,4 beds,"9,000","4002 Gran Hts, San Antonio, TX 78259"
"$359,950",4 beds,4 beds,"3,664","1323 Rosy Cloud, San Antonio, TX 78245-3227"
"$221,000",3 beds,3 beds,"8,407","4351 First View Dr, San Antonio, TX 78217-3633"
"$875,000",4 beds,4 beds,"1,729","24710 Fairway Spgs, San Antonio, TX 78260"
"$259,900",3 beds,3 beds,"7,666","11042 Eyelet Hbr, Converse, TX 78109"
"$209,999",4 beds,4 beds,"1,812","1426 Range Finder, San Antonio, TX 78245-2883"
"$624,998",4 beds,4 beds,"5,793","26716 Duet Dr, San Antonio, TX 78260"
"$409,999",2 beds,2 beds,"2,789","12571 Rapids Pass, San Antonio, TX 78253-4100"
"$285,000",2 beds,2 beds,"7,753","2718 Old Field Dr #101, San Antonio, TX 78247-3867"
"$115,000",1 bed,1 bed,"2,643","8655 Datapoint Dr #213, San Antonio, TX 78229-3260"
"$288,000",4 beds,4 beds,"6,882","5418 Mumford Path, San Antonio, TX 78228-3501"
"$386,999",3 beds,3 beds,"1,458","2850 Moncayo Dr, San Antonio, TX 78232-4195"
"$339,000",4 beds,4 beds,"5,227","123 Odis, San Antonio, TX 78204-2748"
"$530,000",3 beds,3 beds,"1,695","28917 Throssel Ln, San Antonio, TX 78260-4464"
"$669,000",4 beds,4 beds,"6,534","6815 Bella Verso, San Antonio, TX 78256-2011"
"$181,900",3 beds,3 beds,"1,057","138 Orphan, San Antonio, TX 78202-2545"
"$422,500",4 beds,4 beds,"3,179","19 Atwell Park, San Antonio, TX 78254-5700"
"$214,900",3 beds,3 beds,"2,425","2717 E Commerce St, San Antonio, TX 78203"
"$186,999",3 beds,3 beds,"6,621","370 Nash Blvd, San Antonio, TX 78223-3332"
"$304,990",4 beds,4 beds,"1,094","3842 Fiesta Trl, San Antonio, TX 78245"
"$269,950",3 beds,3 beds,"4,312","3603 Storm Moon, Converse, TX 78109"
"$322,000",5 beds,5 beds,"1,274","7210 Sunrise Lk, San Antonio, TX 78244-1349"
"$284,999",4 beds,4 beds,"8,058","6223 Windy Grn, San Antonio, TX 78218"
"$294,000",3 beds,3 beds,"2,961","8395 Clipper Hbr, San Antonio, TX 78253"
"$515,000",2 beds,2 beds,"6,490","215 Center St #1107, San Antonio, TX 78202-2717"
"$349,700",5 beds,5 beds,"1,620","9163 Ridge Post, San Antonio, TX 78250-3822"
"$284,000",4 beds,4 beds,"6,795","8527 Stone Chase, San Antonio, TX 78254-5774"
"$227,500",3 beds,3 beds,"3,051","9375 Valley Hedge, San Antonio, TX 78250-5763"
"$249,900",1 bed,1 bed,0.24,"1401 S Flores St #216, San Antonio, TX 78204-1653"
"$1,599,990",5 beds,5 beds,"2,027","23515 Avila Rdg, San Antonio, TX 78255"
"$289,000",4 beds,4 beds,"9,713","6507 Candlecrest Ct, San Antonio, TX 78244-1921"
"$194,000",3 beds,3 beds,"1,908","247 Gayle Ave, San Antonio, TX 78223-3341"
"$265,000",3 beds,3 beds,"5,401","5914 Royal Pt, San Antonio, TX 78239-1535"
"$210,000",3 beds,3 beds,"1,424","4735 EL Vedado St, San Antonio, TX 78233-6723"
"$300,000",5 beds,5 beds,"3,375","15210 Field Sparrow, San Antonio, TX 78253-4591"
"$196,000",3 beds,3 beds,"7,797","11302 Pecan Cyn, San Antonio, TX 78252-2287"
"$239,999",— beds,— beds,"2,288","1190 Flagstone Dr, San Antonio, TX 78260"
"$49,900",— beds,— beds,"4,965","306 Cardiff Ave, San Antonio, TX 78220"
"$75,000",— beds,— beds,"1,223","1322 Fontaine Dr, San Antonio, TX 78219"
"$850,000",— beds,— beds,"4,617","12810 S Zarzamora St, San Antonio, TX 78224-3050"
"$50,000",— beds,— beds,711,"00 Robert Jared, San Antonio, TX 78264"
"$55,000",— beds,— beds,"4,934","635 H St 1, San Antonio, TX 78220"
"$125,000",— beds,— beds,0.55,"109 Omaha St, San Antonio, TX 78203-1048"
"$65,000",— beds,— beds,"1,962","7411 Glasgow Dr, San Antonio, TX 78223-4046"
"$145,000",— beds,— beds,"5,009","25107 Arrow Rdg, San Antonio, TX 78258"
