price,rooms,baths,square_feet,address
"$775,000",3 beds,3 beds,"3,015","8605 Mesa Rain Rd NW, Albuquerque, NM 87120"
"$463,000",3 beds,3 beds,0.46,"2616 O'keefe Ave SE, Albuquerque, NM 87105"
"$775,000",3 beds,3 beds,"2,191","8515 Mesa Rain Rd NW, Albuquerque, NM 87120"
"$279,000",3 beds,3 beds,"4,356","10016 Cartagena Ave SW, Albuquerque, NM 87121"
"$313,000",2 beds,2 beds,"3,015","601 Menaul Blvd NE #304, Albuquerque, NM 87107"
"$299,900",3 beds,3 beds,0.46,"3317 Valencia Dr NE, Albuquerque, NM 87110"
"$419,500",3 beds,3 beds,"1,988","12813 El Vado Ct NE, Albuquerque, NM 87112"
"$530,000",3 beds,3 beds,"4,356","5616 Bosque Vista Dr NE, Albuquerque, NM 87111"
"$775,000",4 beds,4 beds,"1,723","10811 Del Rey Ave NE, Albuquerque, NM 87122"
"$1,025,000",3 beds,3 beds,751,"8809 Silver Oak Ln NE, Albuquerque, NM 87113"
"$1,100,000",4 beds,4 beds,"1,477","4808 Valle Santo Trl NW, Albuquerque, NM 87120"
"$700,000",4 beds,4 beds,"6,098","13304 Hidden Valley Rd NE, Albuquerque, NM 87111"
"$649,990",4 beds,4 beds,"1,645","9818 Desert Lark Place Ln NE, Albuquerque, NM 87122"
"$650,000",4 beds,4 beds,"6,499","1901 Truman St NE, Albuquerque, NM 87110"
"$775,000",3 beds,3 beds,"1,914","8601 Mesa Rain Rd NW, Albuquerque, NM 87120"
"$650,000",4 beds,4 beds,"3,484","11915 Oryx Pl NE, Albuquerque, NM 87111"
"$259,990",2 beds,2 beds,"2,752","3147 Morrissey St SW, Albuquerque, NM 87121"
"$475,000",5 beds,5 beds,0.89,"6213 Lola Dr NE, Albuquerque, NM 87109"
"$600,000",6 beds,6 beds,"3,852","7109 Las Nutrias Rd NW, Albuquerque, NM 87114"
"$304,900",3 beds,3 beds,"7,405","1528 Moon St NE, Albuquerque, NM 87112"
"$739,900",4 beds,4 beds,"3,645","2800 Bosque Del Sol Ln NW, Albuquerque, NM 87120"
"$319,000",2 beds,2 beds,0.24,"1900 Cherry Ln NW, Albuquerque, NM 87104"
"$375,000",3 beds,3 beds,"4,025","9615 Aztec Rd NE, Albuquerque, NM 87111"
"$392,500",1 bed,1 bed,0.39,"211 Texas St NE, Albuquerque, NM 87108"
"$392,500",2 beds,2 beds,"2,016","209 Texas St NE, Albuquerque, NM 87108"
"$539,900",3 beds,3 beds,"6,970","1565 Summit Hills Dr NE, Albuquerque, NM 87112"
"$615,000",4 beds,4 beds,"2,800","1701 Mount Hood Trl NW, Albuquerque, NM 87120"
"$650,000",5 beds,5 beds,0.27,"4629 Albany Ct NW, Albuquerque, NM 87114"
"$800,000",2 beds,2 beds,"3,015","501 Texas St NE, Albuquerque, NM 87106"
"$430,000",2 beds,2 beds,0.46,"3417 Thaxton Ave SE, Albuquerque, NM 87106"
"$875,000",4 beds,4 beds,"2,413","7029 Moon Glow Ct NE, Albuquerque, NM 87111"
"$595,000",4 beds,4 beds,"6,534","2215 Stieglitz Ave SE, Albuquerque, NM 87106"
"$160,000",2 beds,2 beds,"1,173","1430 Franciscan St NE, Albuquerque, NM 87102"
"$615,000",4 beds,4 beds,"3,202","7404 Molas Rd NW, Albuquerque, NM 87114"
"$760,000",4 beds,4 beds,"2,630","7905 Tiburon Hills Dr NW, Albuquerque, NM 87120"
"$339,900",3 beds,3 beds,"7,840","971 Barkwell Dr SW, Albuquerque, NM 87121"
"$370,000",3 beds,3 beds,"4,110","324 Chula Vista Pl NE, Albuquerque, NM 87108"
"$499,000",3 beds,3 beds,"6,969","1125 Patricia Cir NW, Corrales, NM 87048"
"$525,000",4 beds,4 beds,"1,285","1804 Sunset St SE, Albuquerque, NM 87123"
"$320,000",4 beds,4 beds,"7,840","2100 Muriel St NE, Albuquerque, NM 87112"
"$375,000",2 beds,2 beds,"2,400","421 California St SE, Albuquerque, NM 87108"
"$725,000",2 beds,2 beds,"8,276","2319 Chuckwalla Spring Trl NW, Albuquerque, NM 87120"
"$309,000",3 beds,3 beds,"2,767","8612 Gunnison Pl NW, Albuquerque, NM 87120"
"$159,000",3 beds,3 beds,"8,276","4601 Carlisle Blvd NE Unit A14, Albuquerque, NM 87109"
"$350,000",3 beds,3 beds,"1,741","2339 Hendola Dr NE, Albuquerque, NM 87110"
"$799,000",4 beds,4 beds,"3,920","3908 Alamogordo Dr NW, Albuquerque, NM 87120"
"$380,000",4 beds,4 beds,"1,052","8909 Lagrima De Oro Rd NE, Albuquerque, NM 87111"
"$425,000",3 beds,3 beds,"2,437","705 Adams St SE, Albuquerque, NM 87108"
"$815,000",4 beds,4 beds,"8,276","6431 Picardia Pl NW, Albuquerque, NM 87120"
"$675,000",4 beds,4 beds,"3,222","13212 Montgomery Blvd NE, Albuquerque, NM 87111"
"$425,000",4 beds,4 beds,0.37,"12525 Iroquois Pl NE, Albuquerque, NM 87112"
"$335,000",3 beds,3 beds,"2,172","4619 Via Macduffee Rd NE, Albuquerque, NM 87111"
"$498,000",2 beds,2 beds,"8,712","3901 Thaxton Ave SE, Albuquerque, NM 87108"
"$524,990",3 beds,3 beds,"2,395","7005 Borg Rd NE, Albuquerque, NM 87111"
"$875,000",3 beds,3 beds,"8,712","9311 Wilshire Ave NE, Albuquerque, NM 87122"
"$264,900",3 beds,3 beds,"2,606","1900 Dakota St NE, Albuquerque, NM 87110"
"$725,000",4 beds,4 beds,0.37,"7919 Tiburon Hills Dr NW, Albuquerque, NM 87120"
"$275,000",1 bed,1 bed,"4,350","400 Central Ave SE #305, Albuquerque, NM 87102"
"$490,000",4 beds,4 beds,0.32,"4500 Cumberland Rd NW, Albuquerque, NM 87120"
"$105,000",1 bed,1 bed,"2,190","1100 Alvarado Dr SE #303, Albuquerque, NM 87108"
"$265,000",3 beds,3 beds,"7,840","1580 Five Points Rd SW, Albuquerque, NM 87105"
"$573,000",4 beds,4 beds,"1,463","410 Solano Dr SE, Albuquerque, NM 87108"
"$303,000",3 beds,3 beds,"2,613","8119 Sheffield Pl NW, Albuquerque, NM 87120"
"$389,500",4 beds,4 beds,"1,795","10912 Woodland Ave NE, Albuquerque, NM 87112"
"$458,000",3 beds,3 beds,"8,712","7309 Valley Forge Rd NE, Albuquerque, NM 87109"
"$281,000",3 beds,3 beds,"2,114","5301 Candelaria Rd NE, Albuquerque, NM 87110"
"$201,000",2 beds,2 beds,"6,098","3301 Monroe St NE Unit C26, Albuquerque, NM 87110"
"$378,500",2 beds,2 beds,"2,717","620 Chama St SE, Albuquerque, NM 87108"
"$430,000",5 beds,5 beds,0.89,"9516 Silica Ave NW, Albuquerque, NM 87120"
"$389,000",3 beds,3 beds,"1,254","3517 Hendrix Rd NE, Albuquerque, NM 87107"
"$689,000",3 beds,3 beds,"6,534","12709 Desert Marigold Ln NE, Albuquerque, NM 87111"
"$350,000",2 beds,2 beds,"2,796","716 Benicia Ln SW, Albuquerque, NM 87102"
"$429,000",3 beds,3 beds,"6,534","11823 Pocono Rd SE, Albuquerque, NM 87123"
"$229,500",2 beds,2 beds,"1,078","10619 Buck Island Rd SW, Albuquerque, NM 87121"
"$325,000",4 beds,4 beds,"2,215","1335 Amole Dr SW, Albuquerque, NM 87121"
"$339,900",2 beds,2 beds,"8,712","2417 Del Sur Dr SW, Albuquerque, NM 87105"
"$650,000",2 beds,2 beds,616,"1203 Trujillo Rd SW, Albuquerque, NM 87105"
"$684,900",4 beds,4 beds,"1,013","2873 Brushwood St NE, Albuquerque, NM 87122"
"$228,000",2 beds,2 beds,0.34,"231 Southern Ave SE, Albuquerque, NM 87102"
"$449,999",4 beds,4 beds,"2,388","2925 Rhode Island St NE, Albuquerque, NM 87110"
"$497,500",3 beds,3 beds,"1,887","1215 Blue Quail Rd NE, Albuquerque, NM 87112"
"$895,000",3 beds,3 beds,"6,098","2213 Matthew Ave, Albuquerque, NM 87104"
"$1,399,999",5 beds,5 beds,"2,354","10000 San Bernardino Dr NE, Albuquerque, NM 87122"
"$438,990",4 beds,4 beds,0.28,"9373 Sidreaux Loop NW, Albuquerque, NM 87114"
"$288,000",3 beds,3 beds,"4,712","3232 Schumacher St NW, Albuquerque, NM 87120"
"$539,000",2 beds,2 beds,0.89,"2304 Komatke Trl NW, Albuquerque, NM 87120"
"$80,000",3 beds,3 beds,"1,883","8900 2nd St NW #17, Albuquerque, NM 87114"
"$419,000",3 beds,3 beds,"4,199","5839 Ermenim Ave Nw Ave NW, Albuquerque, NM 87114"
"$699,990",4 beds,4 beds,"1,439","111 Fernleaf Ct NW, Albuquerque, NM 87107"
"$399,000",4 beds,4 beds,"3,920","1 Pool St NW, Albuquerque, NM 87120"
"$415,000",3 beds,3 beds,"1,850","6017 Concordia Rd NE, Albuquerque, NM 87111"
"$340,000",2 beds,2 beds,"6,534","1828 Florida St NE, Albuquerque, NM 87110"
"$699,900",4 beds,4 beds,"1,280","1008 Cuatro Cerros Trl SE, Albuquerque, NM 87123"
"$562,500",4 beds,4 beds,"2,332","2004 Redondo Peak Dr NW, Albuquerque, NM 87120"
"$335,000",2 beds,2 beds,"4,356","6501 San Antonio Dr NE #2203, Albuquerque, NM 87109"
"$359,900",3 beds,3 beds,"2,323","985 Barkwell Dr SW, Albuquerque, NM 87121"
