price,rooms,baths,square_feet,address
"$2,788,000",10 beds,10 beds,"1,298","601 - 609 Pennsylvania Ave, San Francisco, CA 94107"
"$1,705,000",2 beds,2 beds,"3,000","875 California St #505, San Francisco, CA 94108"
"$1,000,000",1 bed,1 bed,"5,241","425 1st St #1508, San Francisco, CA 94105"
"$875,000",2 beds,2 beds,"9,914","380 14th St #506, San Francisco, CA 94103"
"$899,000",2 beds,2 beds,"2,372","301 Mission St Unit 8E, San Francisco, CA 94105"
"$1,195,000",1 bed,1 bed,"3,436","425 1st St #1407, San Francisco, CA 94105"
"$729,000",1 bed,1 bed,592,"260 King St #807, San Francisco, CA 94107"
"$799,900",1 bed,1 bed,"2,840","425 1st St #3505, San Francisco, CA 94105"
"$695,000",1 bed,1 bed,"5,000","735 Geary St #504, San Francisco, CA 94109"
"$2,000,000",2 beds,2 beds,"1,321","1190 Sacramento St #9, San Francisco, CA 94108"
"$560,000",1 bed,1 bed,755,"960 Market St #323, San Francisco, CA 94102"
"$5,450,000",0 beds,0 beds,823,"1359 Hayes St, San Francisco, CA 94117"
"$1,095,000",2 beds,2 beds,"1,098","2002 3rd St #211, San Francisco, CA 94107"
"$5,995,000",5 beds,5 beds,819,"704 Ashbury St, San Francisco, CA 94117"
"$2,295,000",3 beds,3 beds,896,"93 States St, San Francisco, CA 94114"
"$969,000",1 bed,1 bed,710,"1624 Filbert St #1, San Francisco, CA 94123"
"$1,475,000",2 beds,2 beds,840,"333 Beale St Unit 2A, San Francisco, CA 94105"
"$1,048,000",1 bed,1 bed,"1,519","181 Ofarrell St #303, San Francisco, CA 94102"
"$1,399,000",2 beds,2 beds,559,"757 North Pt #2, San Francisco, CA 94109"
"$1,999,000",3 beds,3 beds,"11,017","679 14th Ave, San Francisco, CA 94118"
"$998,000",4 beds,4 beds,"5,156","212 - 216 Girard St, San Francisco, CA 94134"
"$1,095,000",3 beds,3 beds,"1,402","2434 45th Ave, San Francisco, CA 94116"
"$668,000",1 bed,1 bed,"4,961","38 Bryant St #101, San Francisco, CA 94105"
"$895,000",2 beds,2 beds,"2,656","922 Esmeralda Ave, San Francisco, CA 94110"
"$648,888",2 beds,2 beds,"2,286","601 Van Ness Ave #70, San Francisco, CA 94102"
"$598,000",1 bed,1 bed,650,"1001 Pine St #506, San Francisco, CA 94109"
"$995,000",2 beds,2 beds,962,"524 27th Ave, San Francisco, CA 94121"
"$548,000",1 bed,1 bed,566,"2415 Van Ness Ave #106, San Francisco, CA 94109"
"$1,395,000",2 beds,2 beds,"1,367","619 15th Ave, San Francisco, CA 94118"
"$1,075,000",7 beds,7 beds,"2,607","733 - 735 Minna St, San Francisco, CA 94103"
"$1,795,000",2 beds,2 beds,"1,598","3870 Cesar Chavez St, San Francisco, CA 94131"
"$1,495,000",3 beds,3 beds,"1,808","1046 Jackson St, San Francisco, CA 94133"
"$825,000",1 bed,1 bed,"2,848","2077 Jackson St #202, San Francisco, CA 94109"
"$1,049,000",3 beds,3 beds,"1,290","66 Cleary Ct #803, San Francisco, CA 94109"
"$1,395,000",3 beds,3 beds,—,"1029 Dolores St, San Francisco, CA 94110"
"$2,695,000",6 beds,6 beds,"1,102","3091 - 3093 California St, San Francisco, CA 94115"
"$697,000",1 bed,1 bed,"1,443","3241 Mission St #7, San Francisco, CA 94110"
"$1,249,000",2 beds,2 beds,"4,005","197 18th Ave, San Francisco, CA 94121"
"$800,000",2 beds,2 beds,"3,005","1754 Revere Ave, San Francisco, CA 94124"
"$1,050,000",1 bed,1 bed,597,"708 Long Bridge St #1011, San Francisco, CA 94158"
"$749,000",2 beds,2 beds,"1,286","2625 Clement St #202, San Francisco, CA 94121"
"$899,000",1 bed,1 bed,"1,144","229 Brannan St Unit 2G, San Francisco, CA 94107"
"$599,000",0 beds,0 beds,"2,495","529 Broderick St Unit A, San Francisco, CA 94117"
"$949,888",2 beds,2 beds,835,"875 La Playa St #182, San Francisco, CA 94121"
"$1,089,000",2 beds,2 beds,714,"4006 22nd St, San Francisco, CA 94114"
"$1,895,000",3 beds,3 beds,885,"34 Roselyn Ter, San Francisco, CA 94118"
"$488,000",1 bed,1 bed,472,"260 King St #429, San Francisco, CA 94107"
"$995,000",3 beds,3 beds,986,"3265 20th St, San Francisco, CA 94110"
"$649,999",0 beds,0 beds,—,"1340 Leavenworth St, San Francisco, CA 94109"
"$450,000",0 beds,0 beds,"1,376","1075 Market St #305, San Francisco, CA 94103"
"$1,895,000",3 beds,3 beds,"1,900","209 Beverly St, San Francisco, CA 94132"
"$2,995,000",3 beds,3 beds,"2,495","2303 Filbert St, San Francisco, CA 94123"
"$2,575,000",2 beds,2 beds,600,"488 Folsom St #4405, San Francisco, CA 94105"
"$958,000",3 beds,3 beds,"1,263","795 La Playa St #1, San Francisco, CA 94121"
"$1,600,000",3 beds,3 beds,"8,221","1259 - 1261 41st Ave, San Francisco, CA 94122"
"$749,000",2 beds,2 beds,453,"2386 Bryant St #2386, San Francisco, CA 94110"
"$1,099,000",2 beds,2 beds,"2,224","574 26th Ave #4, San Francisco, CA 94121"
"$1,449,000",3 beds,3 beds,"2,750","1253 6th Ave, San Francisco, CA 94122"
"$795,000",2 beds,2 beds,"1,776","1339 16th Ave #5, San Francisco, CA 94122"
"$849,000",2 beds,2 beds,"1,346","1339 16th Ave #4, San Francisco, CA 94122"
"$895,000",1 bed,1 bed,"1,652","1341 Union St #4, San Francisco, CA 94109"
"$1,998,000",3 beds,3 beds,"1,600","780 Haight St, San Francisco, CA 94117"
"$1,195,000",1 bed,1 bed,"2,950","1335 Filbert St #306, San Francisco, CA 94109"
"$805,000",2 beds,2 beds,"3,000","616 20th St #410, San Francisco, CA 94107"
"$1,499,000",4 beds,4 beds,760,"706 25th Ave, San Francisco, CA 94121"
"$1,470,000",2 beds,2 beds,"1,234","435 China Basin St #423, San Francisco, CA 94158"
"$1,888,888",12 beds,12 beds,"4,372","1329-1333 Powell St, San Francisco, CA 94133"
"$1,798,000",3 beds,3 beds,"1,169","132 Evelyn Way, San Francisco, CA 94127"
"$6,936,000",3 beds,3 beds,"2,230","1 Steuart Ln #1903, San Francisco, CA 94105"
"$1,295,000",4 beds,4 beds,"4,299","168 - 170 Lundys Ln, San Francisco, CA 94110"
"$1,549,000",2 beds,2 beds,"2,704","1450 Franklin St #905, San Francisco, CA 94109"
"$699,000",2 beds,2 beds,"2,205","619 Shotwell St #2, San Francisco, CA 94110"
"$1,095,000",6 beds,6 beds,"1,750","14 - 16 Museum Way, San Francisco, CA 94114"
"$1,349,000",3 beds,3 beds,"1,326","55 Rousseau St, San Francisco, CA 94112"
"$1,595,000",4 beds,4 beds,637,"867 33rd Ave, San Francisco, CA 94121"
"$2,999,995",5 beds,5 beds,"3,000","1144 - 1146 Lake St, San Francisco, CA 94118"
"$1,595,000",3 beds,3 beds,"2,400","1423 Plymouth Ave, San Francisco, CA 94112"
"$848,000",1 bed,1 bed,"1,969","1580 Pacific Ave Unit G4, San Francisco, CA 94109"
"$1,495,000",3 beds,3 beds,"2,400","1316 - A 7th Ave, San Francisco, CA 94112"
"$1,248,000",2 beds,2 beds,"1,827","1580 Pacific Ave Unit H1, San Francisco, CA 94109"
"$2,350,000",4 beds,4 beds,"2,879","223 23rd Ave, San Francisco, CA 94121"
"$3,495,000",5 beds,5 beds,"4,430","584 Mississippi St, San Francisco, CA 94107"
"$2,295,000",5 beds,5 beds,"2,500","22 Fairfield Ave, San Francisco, CA 94127"
"$675,000",1 bed,1 bed,"1,620","407 Miguel St Unit A, San Francisco, CA 94131"
"$1,195,000",4 beds,4 beds,"4,356","1585 Underwood Ave, San Francisco, CA 94124"
"$2,245,000",2 beds,2 beds,704,"350 Day St, San Francisco, CA 94131"
"$849,000",1 bed,1 bed,"1,306","2068 3rd St #5, San Francisco, CA 94107"
"$1,898,000",3 beds,3 beds,"1,034","680 47th Ave, San Francisco, CA 94121"
"$2,995,000",4 beds,4 beds,"2,350","1609 Castro St, San Francisco, CA 94114"
"$3,175,000",4 beds,4 beds,"3,000","496 38th Ave, San Francisco, CA 94121"
"$998,000",4 beds,4 beds,"3,101","3305 20th St, San Francisco, CA 94110"
"$550,000",0 beds,0 beds,"2,495","74 New Montgomery St #209, San Francisco, CA 94105"
"$2,095,000",3 beds,3 beds,"2,584","871 45th Ave, San Francisco, CA 94121"
"$1,499,000",2 beds,2 beds,"4,120","401 Harrison St Unit 9C, San Francisco, CA 94105"
"$2,288,000",4 beds,4 beds,—,"153 Idora Ave, San Francisco, CA 94127"
"$2,245,000",1 bed,1 bed,"2,190","760 Church St #2, San Francisco, CA 94114"
"$1,250,000",1 bed,1 bed,"2,500","760 Church St #1, San Francisco, CA 94114"
