price,rooms,baths,square_feet,address
"$315,000",4 beds,4 beds,"6,850","17227 Branch Canyon Ct, Houston, TX 77095"
"$419,777",4 beds,4 beds,"2,040","9607 Parmer Ct, Houston, TX 77064"
"$495,000",3 beds,3 beds,"7,200","5520 Kiam St Unit C, Houston, TX 77007"
"$257,000",3 beds,3 beds,"1,497","10902 Seneca St, Houston, TX 77016"
"$319,000",2 beds,2 beds,"2,294","9200 Carousel Ln, Houston, TX 77080"
"$85,000",3 beds,3 beds,"7,426","8521 Hearth Dr #33, Houston, TX 77054"
"$215,000",2 beds,2 beds,"1,274","13962 Hollowgreen Dr #24, Houston, TX 77082"
"$141,500",4 beds,4 beds,"1,460","3911 Blue Meadow Ln, Houston, TX 77039"
"$875,000",4 beds,4 beds,"1,424","13619 Rollins Green Ln, Cypress, TX 77429"
"$250,000",2 beds,2 beds,"1,141","2403 Fulton St, Houston, TX 77009"
"$250,000",2 beds,2 beds,"7,560","2409 Fulton St, Houston, TX 77009"
"$755,000",3 beds,3 beds,"4,387","19323 Aquatic Dr, Houston, TX 77346"
"$185,000",2 beds,2 beds,0.35,"2300 Old Spanish Trl #1097, Houston, TX 77054"
"$139,900",2 beds,2 beds,"1,128","16800 Sugar Pine Dr Unit A7, Houston, TX 77090"
"$250,000",2 beds,2 beds,"5,000","2411 Fulton St, Houston, TX 77009"
"$306,000",4 beds,4 beds,"1,894","9134 Smokehollow Dr, Houston, TX 77064"
"$275,000",4 beds,4 beds,"5,000","6111 Downwood Forest Dr, Houston, TX 77088"
"$349,990",3 beds,3 beds,"2,395","753 N Emile St, Houston, TX 77020"
"$875,000",6 beds,6 beds,"8,836","5122 Glenmeadow Dr, Houston, TX 77096"
"$298,500",2 beds,2 beds,"1,019","1517 Chapman St, Houston, TX 77009"
"$240,490",3 beds,3 beds,"1,476","24709 Stablewood Forest Ct, Huffman, TX 77336"
"$265,000",4 beds,4 beds,"1,092","19803 Plantation Grove Trl, Katy, TX 77449"
"$550,000",3 beds,3 beds,"5,000","11815 Aqueduct Rd, Houston, TX 77044"
"$198,000",2 beds,2 beds,"1,864","7 Regency Ln, Houston, TX 77088"
"$229,999",3 beds,3 beds,"7,150","11405 Saginaw Dr, Houston, TX 77076"
"$240,000",3 beds,3 beds,"3,331","19453 Verde Trails Dr, Houston, TX 77073"
"$249,900",3 beds,3 beds,"6,930","4215 E Villa St, Houston, TX 77017"
"$239,900",3 beds,3 beds,"1,365","6203 El Granate Dr, Houston, TX 77048"
"$305,000",3 beds,3 beds,"1,524","6735 Topsfield Point Dr, Humble, TX 77346"
"$289,999",4 beds,4 beds,"3,566","7903 Evergreen Terrace Ln, Houston, TX 77040"
"$334,400",3 beds,3 beds,0.24,"20910 Dover Mist Ln, Katy, TX 77449"
"$170,000",3 beds,3 beds,792,"5602 Meadow Creek Ln, Houston, TX 77017"
"$499,000",2 beds,2 beds,"5,000","1912 Kane St, Houston, TX 77007"
"$345,000",4 beds,4 beds,"2,167","16910 Bird Creek Dr, Houston, TX 77084"
"$352,900",3 beds,3 beds,"4,200","24710 Cabin Line Ln, Katy, TX 77494"
"$199,000",3 beds,3 beds,"1,679","12843 Ashford Brook Dr, Houston, TX 77082"
"$375,000",3 beds,3 beds,"5,303","4019 Tulane St, Houston, TX 77018"
"$414,990",3 beds,3 beds,"1,325","4858 Pinemont Dr, Houston, TX 77091"
"$240,000",3 beds,3 beds,11.12,"7219 Rustic Birch Dr, Houston, TX 77075"
"$415,000",3 beds,3 beds,"1,260","7500 Bridle Path Dr, Houston, TX 77044"
"$255,000",3 beds,3 beds,"2,352","1820 Eubanks St, Houston, TX 77093"
"$585,000",3 beds,3 beds,"1,626","1414 Beachton St, Houston, TX 77007"
"$410,000",3 beds,3 beds,"7,080","510 Janisch Rd, Houston, TX 77018"
"$459,000",4 beds,4 beds,"1,676","15418 Broken Hills Ln, Houston, TX 77044"
"$387,000",3 beds,3 beds,"2,716","10130 Holly Chase Dr, Houston, TX 77042"
"$235,000",4 beds,4 beds,"2,255","10403 Homestead Rd, Houston, TX 77016"
"$305,000",3 beds,3 beds,"1,650","8547 Crescent Valley Ln, Humble, TX 77346"
"$399,000",3 beds,3 beds,"7,854","122 Turner Dr, Houston, TX 77076"
"$360,000",4 beds,4 beds,"1,920","14714 Black Rail Dr, Houston, TX 77049"
"$300,000",10 beds,10 beds,"5,520","3304 Farmer St, Houston, TX 77020"
"$225,000",3 beds,3 beds,"1,857","7906 Mosewood St, Houston, TX 77040"
"$200,000",3 beds,3 beds,"7,822","7831 Battleoak Dr, Houston, TX 77040"
"$169,000",2 beds,2 beds,"2,785","18519 Egret Bay Blvd #1405, Webster, TX 77058"
"$149,882",3 beds,3 beds,"5,400","11014 Marshhay Ct, Houston, TX 77086"
"$275,000",3 beds,3 beds,"2,038","19615 River Bottom Rd, Katy, TX 77449"
"$299,000",2 beds,2 beds,"5,000","12707 Boheme Dr #1302, Houston, TX 77024"
"$459,000",4 beds,4 beds,"1,278","3516 Bellaire Blvd, West University Place, TX 77025"
"$450,000",6 beds,6 beds,"6,000","8404 Tate St Unit A and B, Houston, TX 77028"
"$149,882",2 beds,2 beds,"1,379","11016 Marshhay Ct, Houston, TX 77086"
"$369,000",3 beds,3 beds,"6,900","4145 Meyerwood Dr Unit D, Houston, TX 77025"
"$220,000",3 beds,3 beds,929,"618 Kenwood Ln, Houston, TX 77013"
"$132,000",2 beds,2 beds,"1,463","1505 Copeland St, Houston, TX 77020"
"$200,000",4 beds,4 beds,"4,200","1207 Verhalen Ave, Houston, TX 77039"
"$387,000",9 beds,9 beds,"1,237","8224 Crestview Dr Unit A and B, Houston, TX 77028"
"$279,900",3 beds,3 beds,"5,374","3405 Mount Pleasant St, Houston, TX 77021"
"$199,000",3 beds,3 beds,"1,200","11818 Yearling Dr, Houston, TX 77065"
"$260,000",4 beds,4 beds,5.63,"7106 Bayou Crest Dr, Houston, TX 77088"
"$409,900",4 beds,4 beds,"2,408","2219 Tangle Lake Dr, Kingwood, TX 77339"
"$310,000",4 beds,4 beds,"2,470","9327 Rentur Dr, Houston, TX 77031"
"$389,900",3 beds,3 beds,"2,529","14507 Palazzo Dr, Houston, TX 77070"
"$239,999",3 beds,3 beds,"3,583","12067 Audubon Hill Ct, Houston, TX 77038"
"$395,000",4 beds,4 beds,"1,121","5675 Hazen St, Houston, TX 77081"
"$535,000",4 beds,4 beds,"5,465","15811 Maple Shores Dr, Houston, TX 77044"
"$700,000",4 beds,4 beds,"2,025","19603 Golden Flame Ct, Houston, TX 77094"
"$271,000",3 beds,3 beds,"2,400","8128 Flintridge Dr, Houston, TX 77028"
"$235,000",2 beds,2 beds,"1,738","408 N Post Oak Ln #408, Houston, TX 77024"
"$299,000",4 beds,4 beds,"7,590","7426 Pella Dr, Houston, TX 77036"
"$185,000",3 beds,3 beds,650,"919 Beaver Bend Rd, Houston, TX 77088"
"$348,900",2 beds,2 beds,"5,000","1834 Wheeler St, Houston, TX 77004"
"$960,000",3 beds,3 beds,"1,495","507 Lester St, Houston, TX 77007"
"$325,000",3 beds,3 beds,"7,072","13919 Stableford Ct, Houston, TX 77014"
"$369,999",3 beds,3 beds,"2,320","5702 Barbara Rose Ln, Houston, TX 77005"
"$133,500",2 beds,2 beds,"5,294","260 El Dorado Blvd #1604, Webster, TX 77598"
"$307,500",4 beds,4 beds,"1,210","20223 Charlisa Springs Dr, Katy, TX 77449"
"$449,000",2 beds,2 beds,"1,302","934 Rutland St Unit A, Houston, TX 77008"
"$285,000",3 beds,3 beds,"4,356","18507 Prairie Larkspur Dr, Houston, TX 77073"
"$315,000",3 beds,3 beds,"2,246","2406 Mann St Unit B, Houston, TX 77093"
"$200,000",4 beds,4 beds,"5,046","11907 E Marsham Cir, Houston, TX 77066"
"$185,000",4 beds,4 beds,"1,470","10129 Homestead Rd, Houston, TX 77016"
"$925,000",5 beds,5 beds,"3,144","1531 Sheltering Oaks Ln, Kingwood, TX 77345"
"$165,000",2 beds,2 beds,"1,688","2514 13th St, Galena Park, TX 77547"
"$145,000",3 beds,3 beds,"5,250","15509 Blake Way St, Houston, TX 77032"
"$309,000",3 beds,3 beds,"1,356","6711 Vialinda Dr, Houston, TX 77083"
"$575,000",3 beds,3 beds,"7,259","5614 Court Of Lions St, Houston, TX 77069"
"$105,000",2 beds,2 beds,"4,225","9350 Country Creek Dr #73, Houston, TX 77036"
"$220,000",4 beds,4 beds,0.46,"4907 Rosemary Ln Unit A, Houston, TX 77093"
"$295,000",5 beds,5 beds,"1,278","8902 York Hollow Ln, Houston, TX 77044"
"$115,000",1 bed,1 bed,"6,042","7900 Westheimer Rd #232, Houston, TX 77063"
"$725,000",4 beds,4 beds,"2,160","2113 State St, Houston, TX 77007"
"$752,000",3 beds,3 beds,"2,061","1520 Indiana St, Houston, TX 77006"
"$339,000",3 beds,3 beds,"1,860","5823 Valley Forge Dr #93, Houston, TX 77057"
"$310,000",1 bed,1 bed,"7,015","5925 Almeda Rd #11709, Houston, TX 77004"
"$270,000",3 beds,3 beds,"3,486","5338 Brookway Dr, Houston, TX 77084"
"$385,000",2 beds,2 beds,0.27,"19 Kiskadee Ln, Houston, TX 77058"
"$295,000",4 beds,4 beds,"1,014","139 Buckeye Dr, Katy, TX 77450"
"$557,000",3 beds,3 beds,"1,200","803 Vincent St, Houston, TX 77009"
"$399,000",4 beds,4 beds,"5,500","24715 Nautical Mile Ln, Katy, TX 77494"
"$275,000",2 beds,2 beds,"2,402","1711 Old Spanish Trl #433, Houston, TX 77054"
"$327,500",2 beds,2 beds,"6,944","1704 Aden Mist Dr, Houston, TX 77003"
"$340,000",3 beds,3 beds,765,"12800 Briar Forest Dr #91, Houston, TX 77077"
"$337,000",3 beds,3 beds,"2,270","6729 Tournament Dr, Houston, TX 77069"
"$299,900",3 beds,3 beds,"6,000","8101 Silverton Creek Ln, Houston, TX 77040"
"$215,000",2 beds,2 beds,"2,564","2400 N Braeswood Blvd #336, Houston, TX 77030"
"$349,999",5 beds,5 beds,"3,150","14738 Briceland Springs Dr, Houston, TX 77082"
"$369,000",4 beds,4 beds,"1,722","8734 Backcove Ct, Houston, TX 77064"
"$400,000",4 beds,4 beds,9.48,"4537 Redbud St, Houston, TX 77051"
"$499,000",3 beds,3 beds,757,"1308 W Webster St, Houston, TX 77019"
"$388,000",4 beds,4 beds,"2,273","7806 Alfano St, Houston, TX 77037"
"$540,000",3 beds,3 beds,"3,150","2218 Lou Ellen Ln Unit D, Houston, TX 77018"
"$205,000",2 beds,2 beds,"2,535","2300 Old Spanish Trl #1133, Houston, TX 77054"
"$340,000",3 beds,3 beds,"1,364","782 W Tidwell Rd Unit G, Houston, TX 77091"
"$290,000",2 beds,2 beds,"1,582","7134 Mapleridge St Unit 2E, Houston, TX 77081"
"$235,000",3 beds,3 beds,"7,360","12507 Roxdale Ridge Dr, Houston, TX 77044"
"$395,000",3 beds,3 beds,"1,310","16407 Jadestone Terrace Ln, Houston, TX 77044"
"$149,000",3 beds,3 beds,"1,400","6305 Westward St #103, Houston, TX 77081"
"$349,500",2 beds,2 beds,"1,819","3107 Royal Crescent Dr, Houston, TX 77339"
"$1,100,000",5 beds,5 beds,"8,151","9814 Cape Breeze Dr, Houston, TX 77070"
"$770,000",4 beds,4 beds,"5,549","1614 Norfolk St Unit C, Houston, TX 77006"
"$409,000",3 beds,3 beds,0.48,"2709 Church Wood Dr, Houston, TX 77082"
"$525,000",3 beds,3 beds,"3,439","2234 Lakeshore Edge Dr, Houston, TX 77080"
"$415,000",3 beds,3 beds,"1,751","6107 Dumfries Dr, Houston, TX 77096"
"$150,000",2 beds,2 beds,"1,684","8055 Cambridge St #54, Houston, TX 77054"
"$549,000",6 beds,6 beds,"1,734","2701 Arbor St, Houston, TX 77004"
"$240,000",3 beds,3 beds,"2,756","5417 Groveton St, Houston, TX 77033"
"$365,000",2 beds,2 beds,"2,015","1905 Idylwood Dr, Houston, TX 77023"
"$327,500",3 beds,3 beds,"2,024","17475 Farm Pasture Trl, Hockley, TX 77447"
"$429,000",5 beds,5 beds,"8,400","15802 Mission Estates Ct, Houston, TX 77083"
"$195,000",3 beds,3 beds,975,"8299 Cambridge St #1003, Houston, TX 77054"
"$285,000",3 beds,3 beds,"2,600","8218 Pastel Dawn Trce, Houston, TX 77049"
"$335,000",3 beds,3 beds,"5,250","12817 Tokenhouse Ln, Houston, TX 77047"
"$1,550,000",4 beds,4 beds,"1,650","19 Southside Cir, Houston, TX 77025"
"$250,000",2 beds,2 beds,"5,500","2224 S Piney Point Rd #112, Houston, TX 77063"
