rent,rooms,bathrooms,sqft,address
196999,3,3,3750,"7223 S Peoria St, Chicago, IL 60621"
100000,1,1,4284,"1538 N Rockwell St Unit 1F, Chicago, IL 60622"
295000,2,2,700,"5832 S Stony Island Ave Unit 9B, Chicago, IL 60637"
325000,4,4,1149,"12158 S Union Ave, Chicago, IL 60628"
270000,4,4,3125,"331 E 82nd St, Chicago, IL 60619"
395000,2,2,1640,"1919 S State St #1, Chicago, IL 60616"
410000,3,3,4536,"2636 W 36th St, Chicago, IL 60632"
1250000,4,4,800,"2423 W Pensacola Ave, Chicago, IL 60618"
260000,1,1,1248,"1372 E 57th St #1, Chicago, IL 60637"
145000,3,3,866,"8055 S Colfax Ave, Chicago, IL 60617"
749000,5,5,1427,"4614 N Kenton Ave, Chicago, IL 60630"
268000,3,3,3000,"4010 S Western Ave #2, Chicago, IL 60609"
229900,2,2,7840,"141 Asbury Ave Unit 3N, Evanston, IL 60202"
324500,2,2,1440,"161 W Harrison St #406, Chicago, IL 60605"
195000,2,2,1480,"3209 W Argyle St Unit G, Chicago, IL 60625"
119000,1,1,3125,"7019 N Ridge Blvd Unit 3B, Chicago, IL 60645"
169000,2,2,3123,"1131 E 61st St #3, Chicago, IL 60637"
799000,8,8,900,"4015 N Paulina St, Chicago, IL 60613"
299000,1,1,1201,"33 W Delaware Pl Unit 23J, Chicago, IL 60610"
255000,1,1,3875,"1 E Scott St #409, Chicago, IL 60610"
424900,3,3,1500,"8300 W Maple Ave, Norridge, IL 60706"
579900,3,3,5000,"5151 N La Crosse Ave, Chicago, IL 60630"
515000,2,2,4000,"500 W Superior St #1111, Chicago, IL 60654"
525000,2,2,3750,"1727 N Mohawk St Unit 2N, Chicago, IL 60614"
430000,7,7,1256,"7008 S King Dr, Chicago, IL 60637"
339900,4,4,3049,"4326 S Talman Ave, Chicago, IL 60632"
339900,4,4,1350,"8812 S Union Ave, Chicago, IL 60620"
485000,4,4,3125,"Sign in for address, Chicago, IL 60630"
279900,3,3,1843,"8825 S Hermitage Ave, Chicago, IL 60620"
499900,2,2,3125,"3241 N Seminary Ave #2, Chicago, IL 60657"
275000,6,6,2397,"6555 S Green St, Chicago, IL 60621"
224900,3,3,3750,"8804 S Fairfield Ave, Evergreen Park, IL 60805"
425000,16,16,1650,"5114 W Van Buren St, Chicago, IL 60644"
145000,1,1,8600,"3756 N Bernard St Unit 3756-1, Chicago, IL 60618"
450000,4,4,4059,"3714 W Cortland St, Chicago, IL 60647"
93500,6,6,2250,"8830 S Exchange Ave, Chicago, IL 60617"
