price,rooms,bathrooms,sqft,address,city
585000,3,3,1503,"819 Horned Owl Dr NE, Albuquerque, NM 87122","Albuquerque, NM"
385000,4,4,7579,"10247 Rempas Dr NW, Albuquerque, NM 87114","Albuquerque, NM"
345000,3,3,2246,"2508 Woodhill Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
290000,3,3,9583,"309 Cagua Dr NE, Albuquerque, NM 87108","Albuquerque, NM"
732000,3,3,2143,"13319 Arch Ct NE, Albuquerque, NM 87112","Albuquerque, NM"
850000,4,4,3920,"7943 Victoria Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
650000,5,5,1264,"8309 San Tesoro St NE, Albuquerque, NM 87113","Albuquerque, NM"
475000,4,4,6098,"4115 Cibola Village Dr NE, Albuquerque, NM 87111","Albuquerque, NM"
280000,2,2,2490,"2700 Kentucky St NE, Albuquerque, NM 87110","Albuquerque, NM"
950000,7,7,6969,"1504 Los Arboles Ave NW, Albuquerque, NM 87107","Albuquerque, NM"
259000,3,3,4000,"6804 Cisco Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
755000,4,4,16988.4,"802 Solar Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
430000,3,3,2943,"8264 Ruidoso Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
230000,2,2,6098,"12929 Carrie Pl SE, Albuquerque, NM 87123","Albuquerque, NM"
315000,4,4,2339,"12517 Monarch Dr NE, Albuquerque, NM 87123","Albuquerque, NM"
575000,4,4,9147,"1101 Solar Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
340000,4,4,1224,"1635 Corte Del Sol NW, Albuquerque, NM 87105","Albuquerque, NM"
425000,3,3,7405,"4112 Rancho Gusto NW, Albuquerque, NM 87120","Albuquerque, NM"
270000,2,2,5317,"1324 Spence Ave SE, Albuquerque, NM 87106","Albuquerque, NM"
234000,2,2,33105.6,"7481 Prairie Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
278500,3,3,1050,"10324 Chianti Ave SW, Albuquerque, NM 87121","Albuquerque, NM"
670000,3,3,3484,"715 16th St NW, Albuquerque, NM 87104","Albuquerque, NM"
560000,4,4,2693,"8812 Camino Del Sol NE, Albuquerque, NM 87111","Albuquerque, NM"
355000,3,3,19166.4,"1207 Bernalillo Pl, Albuquerque, NM 87123","Albuquerque, NM"
1554500,3,3,1705,"239 Spring Creek Ct NE, Albuquerque, NM 87122","Albuquerque, NM"
399900,3,3,8276,"10236 Wickenburg St NW, Albuquerque, NM 87114","Albuquerque, NM"
500000,4,4,1000,"6801 Old Mesa Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
350000,4,4,3049,"9301 Joe Montoya Pl NW, Albuquerque, NM 87114","Albuquerque, NM"
319000,4,4,1583,"8709 Trotter Rd SW, Albuquerque, NM 87121","Albuquerque, NM"
1200000,5,5,9583,"6201 Keyenta Pl NW, Albuquerque, NM 87120","Albuquerque, NM"
295000,3,3,2371,"10031 Guadalupe Trl NW Unit A, Albuquerque, NM 87114","Albuquerque, NM"
290000,3,3,13939.2,"420 Odelia Rd NE, Albuquerque, NM 87102","Albuquerque, NM"
775000,4,4,1836,"11205 Oakland Ave NE, Albuquerque, NM 87122","Albuquerque, NM"
299900,4,4,4356,"2825 Cagua Dr NE, Albuquerque, NM 87110","Albuquerque, NM"
431000,4,4,2265,"7715 Ramona Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
280000,2,2,6969,"917 Iron Ave SW, Albuquerque, NM 87102","Albuquerque, NM"
390990,4,4,1350,"10760 Hopewell Ln SW, Albuquerque, NM 87121","Albuquerque, NM"
355990,4,4,6098,"10724 Hopewell Ln SW, Albuquerque, NM 87121","Albuquerque, NM"
343990,3,3,1360,"10847 Sabino Loop SW, Albuquerque, NM 87121","Albuquerque, NM"
326990,3,3,1306,"10837 Sabino Loop SW, Albuquerque, NM 87121","Albuquerque, NM"
323990,3,3,1289,"10841 Sabino Loop SW, Albuquerque, NM 87121","Albuquerque, NM"
475000,2,2,4792,"240 Wheeler Ave SE, Albuquerque, NM 87102","Albuquerque, NM"
675000,6,6,2693,"2424 Vista Grande Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
303000,2,2,5227,"4623 Crest Ave SE, Albuquerque, NM 87108","Albuquerque, NM"
390000,3,3,4813,"8112 Palo Duro Ave NE, Albuquerque, NM 87110","Albuquerque, NM"
269700,3,3,23522.4,"1504 High St SE, Albuquerque, NM 87102","Albuquerque, NM"
619900,3,3,854,"9204 Palm Yucca Dr NE, Albuquerque, NM 87113","Albuquerque, NM"
289900,2,2,6534,"9218 Aztec Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
575000,5,5,2228,"10520 Calle Sombra NW, Albuquerque, NM 87114","Albuquerque, NM"
399900,3,3,12632.4,"10900 Phoenix Ave NE, Albuquerque, NM 87112","Albuquerque, NM"
435000,2,2,1105,"225 A Willow Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
160000,1,1,7405,"603 Aztec Rd NW, Albuquerque, NM 87107","Albuquerque, NM"
370000,3,3,2550,"2304 General Marshall St NE, Albuquerque, NM 87112","Albuquerque, NM"
421000,6,6,4356,"8512 Sundoro Pl NW, Albuquerque, NM 87120","Albuquerque, NM"
650000,4,4,1275,"6019 Purple Aster Ln NE, Albuquerque, NM 87111","Albuquerque, NM"
450000,4,4,6534,"4024 Pasaje Pl NW, Albuquerque, NM 87114","Albuquerque, NM"
200000,3,3,4063,"2109 Malpais Rd SW, Albuquerque, NM 87105","Albuquerque, NM"
325000,3,3,10454.4,"2901 Rio Maule Dr SW, Albuquerque, NM 87121","Albuquerque, NM"
449900,3,3,2873,"10005 Greene Ave NW, Albuquerque, NM 87114","Albuquerque, NM"
375000,3,3,10890.0,"932 Kipuka Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
439000,3,3,1942,"7921 2nd St NW, Albuquerque, NM 87107","Albuquerque, NM"
975000,4,4,21780.0,"7022 Starshine St NE, Albuquerque, NM 87111","Albuquerque, NM"
340000,4,4,474,"12534 Tomlinson Dr SE, Albuquerque, NM 87123","Albuquerque, NM"
310000,3,3,7840,"7415 Desert Morning Rd SW, Albuquerque, NM 87121","Albuquerque, NM"
325000,3,3,1805,"9611 Palomita Ct NW, Albuquerque, NM 87114","Albuquerque, NM"
250000,1,1,8712,"219 Central Ave NW #309, Albuquerque, NM 87102","Albuquerque, NM"
539000,3,3,2497,"4709 Almeria Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
495000,2,2,5227,"3605 Tyson Pl NE, Albuquerque, NM 87107","Albuquerque, NM"
345000,3,3,2492,"10213 Calle Hidalgo NW, Albuquerque, NM 87114","Albuquerque, NM"
750000,4,4,5662,"997 Lynx Loop NE, Albuquerque, NM 87122","Albuquerque, NM"
424000,3,3,2634,"4008 Rayado Pl NW, Albuquerque, NM 87114","Albuquerque, NM"
350000,3,3,6969,"1248 8th St NW, Albuquerque, NM 87102","Albuquerque, NM"
775000,5,5,1654,"11021 Bridgepointe Ct NE, Albuquerque, NM 87111","Albuquerque, NM"
229900,3,3,9583,"216 Espejo St NE, Albuquerque, NM 87123","Albuquerque, NM"
349000,3,3,1590,"11418 Ralph Ave NE, Albuquerque, NM 87112","Albuquerque, NM"
485000,3,3,6970,"2408 Punta De Vista Dr NE, Albuquerque, NM 87112","Albuquerque, NM"
1089000,4,4,1901,"720 Mullen Rd NW, Los Ranchos, NM 87107","Los Ranchos, NM"
105000,2,2,16988.4,"7112 Pan American Fwy NE #382, Albuquerque, NM 87109","Albuquerque, NM"
339500,3,3,1805,"9516 Adina Ln Ln NW, Albuquerque, NM 87114","Albuquerque, NM"
580000,3,3,4792,"13204 Silver Peak Pl NE, Albuquerque, NM 87111","Albuquerque, NM"
319900,3,3,1137,"11616 Ralph Ave NE, Albuquerque, NM 87112","Albuquerque, NM"
395000,4,4,6098,"1505 San Pablo St NE, Albuquerque, NM 87110","Albuquerque, NM"
420500,2,2,2114,"3339 Central Ave NE #316, Albuquerque, NM 87106","Albuquerque, NM"
395000,4,4,9583,"9916 Ashland St NW, Albuquerque, NM 87114","Albuquerque, NM"
325000,2,2,1682,"100 Gold Ave SW #507, Albuquerque, NM 87102","Albuquerque, NM"
550000,3,3,2701,"61 Wind Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
299000,3,3,5662,"1041 Kentucky St SE, Albuquerque, NM 87108","Albuquerque, NM"
279900,3,3,1045,"8305 Wynview Ct NW, Albuquerque, NM 87120","Albuquerque, NM"
699000,1,1,2010,"501-505 Mesilla St SE, Albuquerque, NM 87108","Albuquerque, NM"
89000,3,3,3049,"9508 Juan Valdez St SE, Albuquerque, NM 87123","Albuquerque, NM"
850000,4,4,1126,"7009 Pala Mesa Ct NE, Albuquerque, NM 87111","Albuquerque, NM"
470000,3,3,7405,"2611 Schell Pl NE, Albuquerque, NM 87106","Albuquerque, NM"
750000,3,3,1217,"2732 Puerta Del Bosque Ln, Albuquerque, NM 87104","Albuquerque, NM"
295000,4,4,3920,"1001 Dakota St SE, Albuquerque, NM 87108","Albuquerque, NM"
429000,0,0,6970,"324 Broadway Blvd NE, Albuquerque, NM 87102","Albuquerque, NM"
1550000,3,3,945,"347 Lagunitas Ln SW, Albuquerque, NM 87105","Albuquerque, NM"
229000,0,0,4101,"301 Central Ave NE #309, Albuquerque, NM 87102","Albuquerque, NM"
310000,3,3,10890.0,"501 Hillview Ct NE, Albuquerque, NM 87123","Albuquerque, NM"
525000,3,3,1390,"1508 Wells Dr NE, Albuquerque, NM 87112","Albuquerque, NM"
73000,2,2,11325.6,"625 Fawn Trl SE, Albuquerque, NM 87123","Albuquerque, NM"
619900,5,5,1962,"1620 Alpine Meadows Ln NW, Albuquerque, NM 87120","Albuquerque, NM"
575000,3,3,7840,"1008 Jefferson St NE, Albuquerque, NM 87110","Albuquerque, NM"
865000,4,4,1504,"1217 Sierra Larga Dr NE, Albuquerque, NM 87112","Albuquerque, NM"
399500,3,3,7405,"1411 Quincy St NE, Albuquerque, NM 87110","Albuquerque, NM"
590000,3,3,4127,"5007 Ensenada Pl NW, Albuquerque, NM 87107","Albuquerque, NM"
619000,5,5,18730.8,"4113 6th St NW Unit Abc, Albuquerque, NM 87107","Albuquerque, NM"
535000,4,4,1526,"1412 Wells Dr NE, Albuquerque, NM 87112","Albuquerque, NM"
297000,3,3,2719,"2315 Aguacate Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
260000,2,2,7.62,"445 Texas St NE, Albuquerque, NM 87108","Albuquerque, NM"
475000,4,4,882,"404 Fontana Pl NE, Albuquerque, NM 87108","Albuquerque, NM"
499000,3,3,1500,"5309 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
605000,3,3,10454.4,"10600 Calle De Elena, Corrales, NM 87048","Corrales, NM"
689500,5,5,2633,"7509 Window Peak Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
140000,2,2,7405,"4601 Carlisle Blvd NE Unit G8, Albuquerque, NM 87109","Albuquerque, NM"
505000,5,5,960,"9508 Thunder Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
795000,7,7,3108,"12904 Piru Blvd SE, Albuquerque, NM 87123","Albuquerque, NM"
635000,4,4,7100,"5608 Estrellita Del Norte Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
750000,3,3,2153,"8615 Mesa Rain Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
750000,3,3,7840,"8609 Mesa Rain Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
775000,3,3,3015,"8605 Mesa Rain Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
463000,3,3,20037.6,"2616 O'keefe Ave SE, Albuquerque, NM 87105","Albuquerque, NM"
775000,3,3,2191,"8515 Mesa Rain Rd NW, Albuquerque, NM 87120","Albuquerque, NM"
