price,rooms,address,city
2195,1,"5905 Tierra Antigua St NE, Albuquerque, NM 87111","Albuquerque, NM"
2195,2,"5905 Tierra Antigua St NE, Albuquerque, NM 87111","Albuquerque, NM"
2195,3,"5905 Tierra Antigua St NE, Albuquerque, NM 87111","Albuquerque, NM"
1492,0,"8100 Barstow St NE, Albuquerque, NM 87122","Albuquerque, NM"
2135,1,"8100 Barstow St NE, Albuquerque, NM 87122","Albuquerque, NM"
2135,2,"8100 Barstow St NE, Albuquerque, NM 87122","Albuquerque, NM"
2135,3,"8100 Barstow St NE, Albuquerque, NM 87122","Albuquerque, NM"
1253,0,"3901 Indian School Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
1812,1,"3901 Indian School Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
1812,2,"3901 Indian School Rd NE, Albuquerque, NM 87110","Albuquerque, NM"
930,0,"12201 Lomas Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1245,1,"12201 Lomas Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1245,2,"12201 Lomas Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1595,0,"9500 Osuna Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
1925,1,"9500 Osuna Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
1925,2,"9500 Osuna Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
1925,3,"9500 Osuna Rd NE, Albuquerque, NM 87111","Albuquerque, NM"
849,0,"10000 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1270,1,"10000 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1270,2,"10000 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
786,0,"200 Figueroa St NE, Albuquerque, NM 87123","Albuquerque, NM"
4688,1,"200 Figueroa St NE, Albuquerque, NM 87123","Albuquerque, NM"
4688,2,"200 Figueroa St NE, Albuquerque, NM 87123","Albuquerque, NM"
4688,3,"200 Figueroa St NE, Albuquerque, NM 87123","Albuquerque, NM"
1395,2,"5009 El Corte Miramar NE, Albuquerque, NM 87111","Albuquerque, NM"
1495,2,"5009 El Corte Miramar NE, Albuquerque, NM 87111","Albuquerque, NM"
1045,0,"1501 Tramway Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1832,1,"1501 Tramway Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1832,2,"1501 Tramway Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1832,3,"1501 Tramway Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1155,0,"7000 Louisiana Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1738,1,"7000 Louisiana Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1738,2,"7000 Louisiana Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
821,0,"301 Western Skies Dr SE, Albuquerque, NM 87123","Albuquerque, NM"
1981,1,"301 Western Skies Dr SE, Albuquerque, NM 87123","Albuquerque, NM"
1981,2,"301 Western Skies Dr SE, Albuquerque, NM 87123","Albuquerque, NM"
1981,3,"301 Western Skies Dr SE, Albuquerque, NM 87123","Albuquerque, NM"
1000,0,"9125 Copper Ave NE, Albuquerque, NM 87123","Albuquerque, NM"
1800,1,"9125 Copper Ave NE, Albuquerque, NM 87123","Albuquerque, NM"
1800,2,"9125 Copper Ave NE, Albuquerque, NM 87123","Albuquerque, NM"
1495,0,"6601 Tennyson St NE, Albuquerque, NM 87111","Albuquerque, NM"
1975,1,"6601 Tennyson St NE, Albuquerque, NM 87111","Albuquerque, NM"
1975,2,"6601 Tennyson St NE, Albuquerque, NM 87111","Albuquerque, NM"
1975,3,"6601 Tennyson St NE, Albuquerque, NM 87111","Albuquerque, NM"
1186,0,"8000 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1567,1,"8000 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1567,2,"8000 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
1567,3,"8000 Montgomery Blvd NE, Albuquerque, NM 87109","Albuquerque, NM"
899,0,"6401 Academy Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
1340,1,"6401 Academy Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
1340,2,"6401 Academy Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
1340,3,"6401 Academy Rd NE, Albuquerque, NM 87109","Albuquerque, NM"
1317,0,"701 Stephen Moody St SE, Albuquerque, NM 87123","Albuquerque, NM"
1842,1,"701 Stephen Moody St SE, Albuquerque, NM 87123","Albuquerque, NM"
1842,2,"701 Stephen Moody St SE, Albuquerque, NM 87123","Albuquerque, NM"
1295,0,"1301-1325 Copper Ave NE, Albuquerque, NM 87106","Albuquerque, NM"
1550,1,"1301-1325 Copper Ave NE, Albuquerque, NM 87106","Albuquerque, NM"
1550,2,"1301-1325 Copper Ave NE, Albuquerque, NM 87106","Albuquerque, NM"
1033,0,"10600 Cibola Loop NW, Albuquerque, NM 87114","Albuquerque, NM"
2291,1,"10600 Cibola Loop NW, Albuquerque, NM 87114","Albuquerque, NM"
2291,2,"10600 Cibola Loop NW, Albuquerque, NM 87114","Albuquerque, NM"
2291,3,"10600 Cibola Loop NW, Albuquerque, NM 87114","Albuquerque, NM"
1595,0,"11930 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1895,1,"11930 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1895,2,"11930 Menaul Blvd NE, Albuquerque, NM 87112","Albuquerque, NM"
1599,0,"2320 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
2250,1,"2320 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
2250,2,"2320 Central Ave SW, Albuquerque, NM 87104","Albuquerque, NM"
1498,0,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106","Albuquerque, NM"
2178,1,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106","Albuquerque, NM"
2178,2,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106","Albuquerque, NM"
2178,3,"2500 Bobby Foster Rd SE, Albuquerque, NM 87106","Albuquerque, NM"
1575,0,"10800 Golf Course Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
3400,1,"10800 Golf Course Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
3400,2,"10800 Golf Course Rd NW, Albuquerque, NM 87114","Albuquerque, NM"
1320,0,"6200 Montano Plaza Dr NW, Albuquerque, NM 87120","Albuquerque, NM"
